T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
58940,269,-541,-732,-15470,-9940,-22470,-127,19,89
58980,261,-615,-779,-17850,-8260,-23310,-113,22,70
59020,246,-568,-779,-5320,7490,5880,-110,26,75
59060,261,-541,-760,-350,15190,17990,-121,23,78
59100,285,-572,-795,-13720,19250,3850,-121,22,70
59140,289,-572,-767,-6300,10990,7840,-135,30,70
59180,300,-561,-756,-980,4060,5740,-135,25,81
59220,300,-592,-760,-7560,2940,-1540,-124,26,68
59260,300,-572,-752,-6440,10500,1610,-130,34,70
59300,296,-568,-760,-1680,4900,2520,-141,37,77
59340,308,-572,-760,-980,980,7070,-138,21,74
59380,312,-592,-728,-8750,4270,-1400,-141,30,74
59420,308,-572,-756,-6860,1820,-4340,-141,30,63
59460,289,-588,-752,-2590,-2310,-1890,-152,28,70
59500,296,-576,-767,-3710,3640,-3080,-144,37,71
59540,312,-568,-748,-4690,2380,-1890,-131,37,71
59580,296,-580,-760,-3010,-2660,-980,-146,21,70
59620,293,-576,-752,-3500,-2520,-280,-141,32,77
59660,304,-572,-740,-3220,-490,-770,-135,33,77
59700,300,-584,-771,-2170,-3990,-1540,-141,37,73
59740,304,-576,-740,-1190,350,-840,-139,29,71
59780,300,-568,-791,-840,-5180,-700,-146,30,67
59820,296,-584,-740,-3080,0,350,-138,29,82
59860,293,-576,-763,-3150,-1190,-3080,-130,29,64
59900,289,-561,-740,-2380,-630,-1540,-134,26,75
59940,304,-572,-771,-840,-1400,350,-134,21,79
59980,293,-576,-740,-350,-70,980,-137,28,81
60020,289,-565,-779,-3640,-2940,-2660,-135,22,89
60060,296,-576,-763,-4620,700,-2730,-135,23,67
60100,300,-565,-767,-2870,-490,-350,-138,33,77
60140,300,-568,-763,-4060,350,-1190,-138,33,82
60180,293,-572,-767,-3990,350,-2030,-138,25,74
60220,293,-576,-771,-4410,280,-70,-135,33,79
60260,296,-572,-763,-1540,-1610,280,-141,28,82
60300,293,-565,-748,-2520,-2170,-140,-132,25,74
60340,304,-600,-791,-3570,-3920,-2170,-137,32,71
60380,281,-565,-744,-3710,0,-840,-141,19,74
60420,296,-568,-775,-1260,-1610,-2030,-134,26,78
60460,277,-561,-721,-5250,2100,-420,-130,26,78
60500,289,-572,-787,-4830,1190,-1540,-130,34,77
60540,281,-580,-767,-4200,-980,-1330,-131,32,74
60580,289,-561,-748,-3220,3150,-140,-130,25,74
60620,273,-565,-771,-4760,1120,-140,-128,27,74
60660,285,-557,-771,-3360,1540,-420,-141,32,77
60700,281,-572,-740,-2240,1050,420,-130,26,81
60740,289,-572,-763,-1610,420,-560,-124,30,70
60780,293,-561,-760,-8120,3220,-2380,-127,33,74
60820,293,-600,-767,-4900,1960,-770,-137,30,81
60860,273,-576,-771,-1750,1750,1400,-130,27,66
60900,293,-557,-775,-1120,3570,-140,-134,28,85
60940,281,-572,-767,2590,-4830,-630,-128,22,74
60980,261,-557,-760,-14000,-1960,840,-123,29,75
61020,281,-572,-779,-12950,-6370,-2660,-124,27,71
61060,261,-600,-779,-14350,-5110,0,-121,23,74
61100,257,-553,-756,-5950,5950,2870,-117,29,78
61140,265,-572,-783,-2030,3220,1750,-119,30,83
61180,250,-568,-717,1470,7280,7420,-112,29,81
61220,277,-604,-814,-9660,14630,4830,-120,23,66
61260,261,-565,-771,-2450,8050,-4970,-123,31,64
61300,261,-565,-736,-3920,6300,4410,-110,27,82
61340,273,-565,-771,-1400,10780,14770,-128,19,71
61380,285,-565,-775,10640,-1120,18970,-124,12,90
61420,269,-549,-822,15260,-8120,17430,-120,5,87
