T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
4931,-54,8,-1048,-910,420,1120,-976,169,87
4933,-54,8,-1048,-910,420,1120,-976,169,87
4935,-54,8,-1048,-1190,630,1120,-925,-92,-662
4937,-54,8,-1048,-1190,630,1120,-925,-92,-662
4939,-54,8,-1048,-1190,630,1120,-925,-92,-662
4941,-54,-22,-1036,-1190,630,1120,-925,-92,-662
4943,-54,-22,-1036,-1190,630,1120,-925,-92,-662
4945,-54,-22,-1036,-2520,280,980,-2,59,-1441
4947,-54,-22,-1036,-2520,280,980,-2,59,-1441
4949,-54,-22,-1036,-2520,280,980,-2,59,-1441
4951,-54,-22,-923,-2520,280,980,-2,59,-1441
4953,-54,-22,-923,-2520,280,980,-2,59,-1441
4955,-54,-22,-923,-3080,210,980,443,427,-1477
4957,-54,-22,-923,-3080,210,980,443,427,-1477
4959,-54,-22,-923,-3080,210,980,443,427,-1477
4961,-77,4,-982,-3080,210,980,443,427,-1477
4963,-77,4,-982,-3080,210,980,443,427,-1477
4965,-77,4,-982,-3640,980,910,35,573,-574
4967,-77,4,-982,-3640,980,910,35,573,-574
4969,-77,4,-982,-3640,980,910,35,573,-574
4971,-85,-7,-935,-3640,980,910,35,573,-574
4973,-85,-7,-935,-3640,980,910,35,573,-574
4975,-85,-7,-935,-4830,1260,840,-904,241,82
4977,-85,-7,-935,-4830,1260,840,-904,241,82
4979,-85,-7,-935,-4830,1260,840,-904,241,82
4981,-97,-42,-978,-4830,1260,840,-904,241,82
4983,-97,-42,-978,-4830,1260,840,-904,241,82
4985,-97,-42,-978,-4760,2170,770,-1010,-63,-425
4987,-97,-42,-978,-4760,2170,770,-1010,-63,-425
4989,-97,-42,-978,-4760,2170,770,-1010,-63,-425
4991,20,4,-962,-4760,2170,770,-1010,-63,-425
4993,20,4,-962,-4760,2170,770,-1010,-63,-425
4995,20,4,-962,-4760,2170,770,-281,-56,-1280
4997,20,4,-962,-4760,2170,770,-281,-56,-1280
4999,20,4,-962,-4760,2170,770,-281,-56,-1280
5001,-54,0,-955,-4760,2170,770,-281,-56,-1280
5003,-54,0,-955,-4760,2170,770,-281,-56,-1280
5005,-54,0,-955,-4550,1960,560,397,351,-1609
5007,-54,0,-955,-4550,1960,560,397,351,-1609
5009,-54,0,-955,-4550,1960,560,397,351,-1609
5011,-34,-69,-1142,-4550,1960,560,397,351,-1609
5013,-34,-69,-1142,-4550,1960,560,397,351,-1609
5015,-34,-69,-1142,-4340,2730,630,206,570,-781
5017,-34,-69,-1142,-4340,2730,630,206,570,-781
