T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
9157,-26,-34,-966,-350,-420,490,-665,256,111
9159,-19,-42,-1005,-350,140,420,-665,256,111
9161,-19,-42,-1005,70,140,420,-665,256,111
9163,-19,-42,-1005,70,140,420,-708,-55,-535
9165,-19,-42,-1005,70,140,420,-708,-55,-535
9167,-19,-42,-1005,70,140,420,-708,-55,-535
9169,-19,-42,-990,70,1190,560,-708,-55,-535
9171,86,-42,-994,280,1190,560,-708,-55,-535
9173,86,-42,-994,280,1190,560,133,11,-1396
9175,86,-42,-994,280,1190,560,133,11,-1396
9177,86,-42,-994,280,1190,560,133,11,-1396
9179,86,-42,-994,280,1470,630,133,11,-1396
9181,0,-19,-1009,630,1470,630,133,11,-1396
9183,0,-19,-1009,630,1470,630,735,433,-1611
9185,0,-19,-1009,630,1470,630,735,433,-1611
9187,0,-19,-1009,630,1470,630,735,433,-1611
9189,0,-19,-1009,630,1820,700,735,433,-1611
9191,0,-50,-970,1330,1820,700,735,433,-1611
9193,0,-50,-970,1330,1820,700,442,638,-687
9195,0,-50,-970,1330,1820,700,442,638,-687
9197,0,-50,-970,1330,1820,700,442,638,-687
9199,0,-50,-970,1330,1260,840,442,638,-687
9201,4,-30,-1005,1400,1260,840,442,638,-687
9203,4,-30,-1005,1400,1260,840,-587,338,36
9205,4,-30,-1005,1400,1260,840,-587,338,36
9207,4,-30,-1005,1400,1260,840,-587,338,36
9209,4,-30,-1005,1400,980,840,-587,338,36
9211,8,-30,-1001,1470,980,840,-587,338,36
9213,8,-30,-1001,1470,980,840,-760,-2,-303
9215,8,-30,-1001,1470,980,840,-760,-2,-303
9217,8,-30,-1001,1470,980,840,-760,-2,-303
9219,8,-30,-1001,1470,700,840,-760,-2,-303
9221,16,-58,-923,840,700,840,-760,-2,-303
9223,16,-58,-923,840,700,840,-136,-59,-1196
9225,16,-58,-923,840,700,840,-136,-59,-1196
9227,16,-58,-923,840,700,840,-136,-59,-1196
9229,16,-58,-923,840,0,700,-136,-59,-1196
9231,-42,-22,-974,0,0,700,-136,-59,-1196
9233,-42,-22,-974,0,0,700,695,353,-1687
9235,-42,-22,-974,0,0,700,695,353,-1687
9237,-42,-22,-974,0,0,700,695,353,-1687
9239,-42,-22,-974,0,560,700,695,353,-1687
9241,0,-30,-990,-770,560,700,695,353,-1687
9243,0,-30,-990,-770,560,700,600,615,-916
9245,0,-30,-990,-770,560,700,600,615,-916
9247,0,-30,-990,-770,560,700,600,615,-916
9249,0,-30,-990,-770,630,700,600,615,-916
9251,27,-50,-966,-1890,630,700,600,615,-916
9253,27,-50,-966,-1890,630,700,-352,466,-93
9255,27,-50,-966,-1890,630,700,-352,466,-93
9257,27,-50,-966,-1890,630,700,-352,466,-93
9259,27,-50,-966,-1890,1050,560,-352,466,-93
9261,4,-30,-1036,-2240,1050,560,-352,466,-93
9263,4,-30,-1036,-2240,1050,560,-778,60,-110
9265,4,-30,-1036,-2240,1050,560,-778,60,-110
9267,4,-30,-1036,-2240,1050,560,-778,60,-110
9269,4,-30,-1036,-2240,1260,210,-778,60,-110
9271,27,-22,-962,-2030,1260,210,-778,60,-110
9273,27,-22,-962,-2030,1260,210,-365,-73,-1004
9275,27,-22,-962,-2030,1260,210,-365,-73,-1004
9277,27,-22,-962,-2030,1260,210,-365,-73,-1004
9279,27,-22,-962,-2030,1050,70,-365,-73,-1004
9281,-30,-26,-1021,-630,1050,70,-365,-73,-1004
9283,-30,-26,-1021,-630,1050,70,624,272,-1699
9285,-30,-26,-1021,-630,1050,70,624,272,-1699
9287,-30,-26,-1021,-630,1050,70,624,272,-1699
9289,-30,-26,-1021,-630,1330,140,624,272,-1699
9291,16,-26,-994,70,1330,140,629,256,-1154
9293,16,-26,-994,70,1330,140,691,580,-1164
9295,16,-26,-994,70,1330,140,691,580,-1164
9297,16,-26,-994,70,1330,140,691,580,-1164
