T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
121709,-50,0,-1072,-3570,3150,700,-78,560,-568
121749,-46,-3,-939,-2170,1120,140,493,174,-1413
121789,-81,-19,-919,-3360,630,420,-260,-465,-1317
121829,-108,-38,-931,-2310,560,700,-1044,-234,-533
121869,-77,-22,-1017,-1330,-210,1120,-498,465,-342
121909,-120,-42,-1169,-2800,490,630,418,383,-1073
121949,0,-11,-806,-1820,1330,420,177,-219,-1518
121989,156,39,-1169,-1400,-350,-210,-863,-379,-897
122029,-93,20,-978,-1540,980,140,-776,137,-226
122069,-186,51,-896,-1540,700,140,241,513,-775
122109,-69,43,-947,-1750,700,140,362,40,-1485
122149,-139,-77,-1274,-1680,1050,140,-528,-490,-1200
122189,-132,-54,-1025,-1540,700,210,-998,-118,-340
122229,-65,27,-802,-1750,910,210,-283,560,-441
122269,-249,-22,-884,-1540,980,140,489,273,-1282
122309,-89,-30,-1161,-1750,630,70,12,-358,-1424
122349,31,8,-1114,-1750,980,140,-958,-339,-766
122389,-116,-7,-1044,-1610,630,140,-697,242,-229
122429,-221,27,-791,-1750,770,210,267,487,-816
122469,-11,59,-916,-1540,980,280,376,-7,-1540
122509,-143,-65,-1173,-1540,630,70,-574,-459,-1157
122549,-69,-69,-1142,-1610,1050,70,-1020,-123,-351
122589,-58,12,-896,-1540,770,70,-238,568,-443
122629,-81,-30,-904,-1750,770,210,464,299,-1230
122669,-108,8,-748,-1680,980,140,25,-378,-1445
122709,-151,-15,-978,-1470,700,140,-938,-330,-762
122749,-93,-34,-927,-1680,980,70,-759,191,-229
122789,-38,47,-697,-1470,980,210,257,507,-778
122829,-198,-22,-916,-1750,630,140,390,52,-1481
122869,-81,-54,-1122,-1680,1050,70,-464,-499,-1246
122909,-81,-15,-1224,-1610,700,140,-1015,-175,-395
122949,-155,-54,-1247,-1750,840,210,-442,512,-369
122989,-89,43,-873,-1540,1050,210,468,375,-1123
123029,-171,74,-830,-1610,630,70,169,-200,-1492
123069,-198,31,-919,-1750,1050,210,-819,-414,-989
123109,-46,70,-919,-1540,770,280,-905,30,-233
123149,-58,-85,-1270,-1750,770,140,-10,556,-579
123189,-77,-77,-1033,-1610,980,70,492,178,-1400
123229,-11,-65,-1075,-1540,700,210,-131,-445,-1358
123269,-85,-34,-1017,-1680,910,140,-999,-317,-683
123309,-85,20,-748,-1540,840,70,-642,312,-265
123349,-221,-26,-861,-1610,700,140,305,469,-869
123389,-136,-34,-912,-1610,1050,210,357,-33,-1537
123429,-147,-19,-1060,-1540,770,70,-559,-455,-1175
123469,-97,-58,-1286,-1610,840,70,-1025,-147,-385
123509,-61,43,-658,-1610,980,280,-327,554,-402
123549,-136,-19,-892,-1540,630,140,440,346,-1148
123589,-128,-42,-1025,-1540,980,70,168,-232,-1512
123629,-58,-15,-1138,-1680,840,210,-810,-386,-952
123669,-77,-69,-1247,-1610,770,210,-920,12,-240
123709,78,4,-1017,-1610,700,70,22,564,-227
123749,-143,16,-997,-1680,980,210,97,552,-646
123789,-69,39,-783,-1610,700,280,452,156,-1401
123829,-93,55,-865,-1750,700,140,-220,-497,-1361
123869,-136,12,-1052,-1610,980,70,-995,-263,-604
123909,-26,16,-1044,-1610,700,280,-692,311,-282
123949,-112,-97,-1224,-1680,910,140,376,444,-940
123989,-34,-61,-1075,-1540,910,210,290,-59,-1521
124029,-58,-7,-1033,-1680,630,70,-624,-470,-1165
124069,-58,-46,-986,-1540,1120,210,-1000,-104,-328
124109,-42,12,-732,-1540,700,280,-302,566,-437
124149,-155,-19,-861,-1680,840,0,500,317,-1222
124189,-85,-7,-849,-1540,1050,210,133,-262,-1455
124229,-104,-26,-1017,-1610,630,210,-883,-393,-915
124269,-104,-38,-923,-1610,1050,70,-856,80,-211
124309,-65,47,-748,-1610,770,140,40,552,-622
124349,-268,-11,-923,-1750,770,350,485,156,-1426
124389,-97,-30,-1040,-1610,910,140,-215,-469,-1334
124429,-132,-19,-1157,-1610,700,70,-1024,-295,-611
124469,-132,-54,-1267,-1680,980,140,-636,338,-274
124509,16,-11,-994,-1540,840,210,322,456,-895
124549,-194,16,-919,-1610,700,140,322,-50,-1545
124589,-233,20,-869,-1610,980,70,-671,-436,-1097
124629,27,47,-939,-1610,700,280,-1007,-88,-307
124669,-124,-65,-1224,-1680,910,140,-149,584,-490
124709,-77,-58,-1052,-1540,980,0,461,271,-1274
124749,-22,-34,-1103,-1610,700,70,24,-381,-1446
124789,-163,-19,-923,-1610,1120,280,-946,-327,-762
124829,-93,43,-771,-1540,700,210,-773,190,-224
124869,-202,-38,-923,-1750,700,70,248,503,-782
124909,-46,-30,-1107,-1540,980,140,373,48,-1477
124949,31,27,-1138,-1610,700,210,-479,-490,-1253
124989,-155,-50,-884,-1610,980,210,-1015,-161,-403
125029,-77,-42,-1103,-1540,840,70,-428,522,-373
125069,0,-26,-1204,-1750,700,70,469,354,-1149
125109,-128,-30,-1185,-1610,1050,210,158,-216,-1475
125149,-112,35,-880,-1540,630,280,-850,-408,-959
125189,-128,94,-810,-1610,910,70,-871,61,-226
125229,-163,12,-982,-1540,910,140,86,536,-659
125269,-19,12,-986,-1610,770,210,475,121,-1453
125309,-38,-104,-1231,-1610,980,210,-304,-486,-1297
125349,-46,-65,-1072,-1470,700,70,-1034,-241,-538
125389,-19,4,-916,-1820,770,70,-556,405,-305
125429,-108,-26,-982,-1610,980,210,374,429,-980
125469,-89,23,-756,-1680,630,210,259,-116,-1553
125509,-198,-7,-974,-1680,1050,140,-707,-425,-1067
125549,-93,-30,-1189,-1540,770,140,-991,-62,-283
125589,-15,-11,-1134,-1750,770,210,-107,570,-527
125629,-104,-58,-1220,-1610,980,140,474,253,-1298
125669,-112,27,-873,-1680,630,70,-12,-395,-1434
125709,-120,66,-935,-1680,910,140,-959,-322,-747
125749,-108,-69,-1126,-1470,980,210,-761,185,-233
125789,-42,43,-927,-1680,700,140,243,508,-780
125829,-104,66,-908,-1610,980,70,397,59,-1475
125869,-210,66,-830,-1540,700,140,-497,-501,-1231
125909,-15,55,-931,-1680,770,140,-1014,-155,-384
125949,-38,-46,-1189,-1540,1050,140,-435,523,-372
125989,-19,-26,-1005,-1610,630,70,473,363,-1125
126029,-15,-46,-1064,-1680,980,210,173,-195,-1481
126069,-73,-42,-919,-1610,700,140,-826,-428,-978
126109,-19,39,-678,-1750,770,70,-895,42,-222
126149,-163,-26,-888,-1610,980,140,-35,555,-578
126189,-143,-34,-884,-1540,630,210,496,192,-1386
126229,-108,0,-1072,-1680,980,70,-138,-441,-1362
126269,-61,-61,-1224,-1540,840,140,-998,-314,-690
126309,74,-3,-1075,-1610,700,350,-683,267,-230
126349,-124,-19,-1118,-1540,980,70,249,493,-798
126389,-46,4,-814,-1470,630,140,391,14,-1519
126429,-132,66,-853,-1680,980,210,-473,-472,-1204
126469,-159,51,-923,-1470,980,210,-1038,-196,-444
126509,12,39,-1033,-1610,700,70,-384,518,-383
126549,-167,-7,-1072,-1680,980,280,429,382,-1080
126589,-108,39,-822,-1540,700,140,205,-185,-1529
126629,-151,78,-877,-1820,700,0,-770,-404,-1012
126669,-210,35,-853,-1610,980,210,-968,-34,-270
126709,-7,82,-892,-1680,560,210,-103,572,-526
126749,-147,-26,-1181,-1680,980,70,468,268,-1286
126789,-38,-15,-1021,-1540,770,210,57,-357,-1461
126829,-77,-104,-1255,-1680,700,140,-901,-355,-836
126869,-54,-54,-1099,-1540,1050,70,-831,94,-227
126909,-69,-54,-1103,-1540,700,280,113,543,-668
126949,-128,-58,-1048,-1680,980,0,453,169,-1412
126989,-7,16,-877,-1540,910,140,-198,-493,-1375
127029,-139,-7,-892,-1610,770,280,-993,-287,-626
127069,-7,4,-705,-1610,980,70,-708,271,-249
127109,-120,-3,-877,-1540,630,210,293,493,-828
127149,-77,35,-802,-1680,840,140,349,11,-1497
127189,-194,-26,-943,-1610,910,70,-485,-491,-1238
127229,-34,-30,-982,-1680,700,280,-1019,-190,-429
127269,-54,31,-748,-1680,980,70,-529,456,-334
127309,-136,-11,-841,-1540,700,70,422,410,-1014
127349,-22,23,-682,-1680,840,280,249,-85,-1502
127389,-155,-15,-810,-1540,980,70,-655,-472,-1126
127429,-69,4,-849,-1610,700,140,-989,-93,-316
127469,-202,-42,-986,-1680,980,280,-319,558,-421
127509,-42,-61,-1122,-1470,630,0,480,334,-1182
127549,-116,4,-1122,-1750,770,210,162,-217,-1472
127589,-69,-58,-1255,-1610,910,140,140,-250,-1456
127629,12,23,-1017,-1680,630,70,-859,-406,-955
127669,-136,-34,-1118,-1680,980,210,-890,42,-228
127709,-42,27,-861,-1470,840,70,-49,555,-579
127749,-190,43,-935,-1750,700,70,488,179,-1400
127789,-128,39,-787,-1610,910,210,-107,-435,-1366
127829,-73,62,-869,-1680,630,70,-985,-327,-731
127869,-264,0,-923,-1680,910,210,-728,200,-206
127909,-34,51,-923,-1470,910,210,172,513,-735
127949,-104,-15,-1185,-1680,700,0,449,85,-1485
127989,-34,23,-841,-1610,980,140,-322,-479,-1289
128029,-139,39,-927,-1610,700,140,-1030,-271,-583
128069,-147,31,-873,-1750,910,70,-626,332,-274
128109,-58,74,-849,-1610,910,280,302,471,-850
128149,-241,27,-958,-1540,770,0,376,3,-1537
128189,23,86,-974,-1680,1050,210,-492,-466,-1208
128229,-81,-42,-1212,-1470,770,210,-1042,-208,-452
128269,-7,-3,-1017,-1820,700,70,-497,465,-345
128309,-73,-77,-1173,-1470,1050,210,384,415,-992
128349,4,-30,-1079,-1610,630,70,256,-98,-1555
128389,-46,-58,-1103,-1540,1050,70,-703,-424,-1068
128429,-30,-42,-1052,-1470,700,140,-1003,-91,-313
128469,-42,-34,-857,-1680,770,70,-206,570,-463
