T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
68045,4,66,-962,-2730,-2590,2870,-956,-214,-743
68047,4,66,-962,-2730,-2590,2870,-956,-214,-743
68049,4,66,-962,-2730,-2590,2870,-956,-214,-743
68051,4,66,-962,-2730,-2590,2870,-956,-214,-743
68053,4,4,-931,-1470,1190,4550,-347,-388,-1544
68055,-136,12,-931,-1470,1190,4550,-347,-388,-1544
68057,-136,12,-931,-1470,1190,4550,-347,-388,-1544
68059,-136,12,-931,-1470,1190,4550,-347,-388,-1544
68061,-136,12,-931,-1470,1190,4550,-347,-388,-1544
68063,-136,12,-931,-3010,6930,4200,345,288,-1966
68065,257,0,-1122,-3010,6930,4200,345,288,-1966
68067,257,0,-1122,-3010,6930,4200,345,288,-1966
68069,257,0,-1122,-3010,6930,4200,345,288,-1966
68071,257,0,-1122,-3010,6930,4200,345,288,-1966
68073,257,0,-1122,-3150,6650,980,333,704,-1409
68075,-3,-7,-1072,-3150,6650,980,333,704,-1409
68077,-3,-7,-1072,-3150,6650,980,333,704,-1409
68079,-3,-7,-1072,-3150,6650,980,333,704,-1409
68081,-3,-7,-1072,-3150,6650,980,333,704,-1409
68083,-3,-7,-1072,-2030,4270,-490,-561,491,-663
68085,4,70,-982,-2030,4270,-490,-561,491,-663
68087,4,70,-982,-2030,4270,-490,-561,491,-663
68089,4,70,-982,-2030,4270,-490,-561,491,-663
68091,4,70,-982,-2030,4270,-490,-561,491,-663
68093,4,70,-982,-2240,2940,-420,-972,-103,-575
68095,23,51,-779,-2240,2940,-420,-972,-103,-575
68097,23,51,-779,-2240,2940,-420,-972,-103,-575
68099,23,51,-779,-2240,2940,-420,-972,-103,-575
68101,23,51,-779,-2240,2940,-420,-972,-103,-575
68103,23,51,-779,-2170,3220,-280,-575,-390,-1350
68105,-58,8,-962,-2170,3220,-280,-575,-390,-1350
68107,-58,8,-962,-2170,3220,-280,-575,-390,-1350
68109,-58,8,-962,-2170,3220,-280,-575,-390,-1350
68111,-58,8,-962,-2170,3220,-280,-575,-390,-1350
