T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
192686,-46,4,-931,-1050,-770,420,-1008,-258,-526
192726,-89,-26,-997,630,-5250,210,-865,59,-150
192766,-97,-15,-958,8820,-2730,-700,-488,491,-217
192806,-198,-284,-1009,770,1120,-280,248,509,-622
192846,47,-147,-1138,630,-3360,-2100,514,223,-1213
192886,-50,-58,-1040,-1610,840,490,303,-185,-1510
192926,-97,-19,-853,-280,280,140,-355,-510,-1244
192966,-128,-30,-1013,-1680,1050,140,-933,-358,-700
193006,-139,-42,-1169,-1400,420,70,-826,46,-172
193046,-58,43,-1068,-1820,840,140,-166,538,-393
193086,-85,-7,-896,-1470,630,70,499,336,-1025
193126,-54,0,-857,-1820,700,140,337,-119,-1474
193166,47,-22,-1001,-1400,1050,210,-398,-545,-1250
193206,-22,-46,-1138,-1470,560,70,-955,-278,-542
193246,-104,-42,-1075,-1680,1050,70,-698,222,-188
193286,-93,-50,-1075,-1400,630,140,209,498,-623
193326,-139,-54,-962,-1680,700,140,524,138,-1334
193366,-77,12,-861,-1540,1050,140,51,-457,-1413
193406,-112,-54,-1056,-1680,490,140,-828,-403,-849
193446,-108,8,-1033,-1610,1190,70,-881,-5,-205
193486,-108,-38,-1099,-1540,700,280,10,537,-481
193526,-77,23,-986,-1680,770,70,525,212,-1199
193566,-69,-26,-1146,-1470,1120,210,198,-345,-1455
193606,-54,-3,-966,-1540,560,70,-762,-435,-934
193646,-7,-7,-1099,-1680,980,140,-911,-47,-226
193686,-85,-19,-1005,-1540,700,0,-116,539,-422
193726,8,-3,-1079,-1820,560,140,506,273,-1146
193766,-77,-7,-1025,-1540,1120,70,255,-295,-1473
193806,-34,4,-1091,-1610,490,210,-720,-442,-965
193846,-65,16,-1009,-1680,1120,70,-934,-79,-233
193886,-3,16,-1114,-1540,840,210,-159,542,-405
193926,-30,-3,-966,-1680,770,0,513,278,-1119
193966,-15,-19,-1138,-1540,1120,210,256,-274,-1480
194006,-81,-22,-1001,-1610,560,0,-720,-443,-981
194046,-85,-58,-1134,-1680,910,280,-935,-84,-237
194086,-128,-3,-1040,-1540,700,0,-148,545,-409
194126,-69,-61,-1091,-1680,420,210,516,252,-1175
194166,-93,8,-873,-1610,1120,70,215,-337,-1455
194206,-147,-11,-1001,-1610,490,140,-773,-421,-925
194246,-128,-7,-877,-1750,910,70,-901,-39,-211
194286,-100,27,-990,-1540,980,70,-50,544,-456
194326,-116,8,-904,-1680,630,210,515,234,-1196
194366,-34,39,-1009,-1540,1260,0,178,-367,-1464
194406,-132,20,-1009,-1470,630,280,-803,-409,-894
194446,-61,20,-1052,-1680,910,-70,-873,9,-190
194486,-58,20,-1111,-1470,980,210,34,542,-504
194526,-50,-3,-1013,-1680,420,210,529,184,-1278
194566,-42,-19,-1161,-1610,1050,0,55,-453,-1420
194606,-89,-7,-1005,-1540,560,210,-880,-375,-771
194646,-100,-58,-1099,-1750,770,70,-765,104,-169
194686,-54,-3,-1056,-1540,1050,140,185,503,-613
194726,-30,-30,-1060,-1540,490,210,508,495,-665
194766,-54,8,-1009,-1680,1190,70,-258,-544,-1416
194806,-69,27,-919,-1540,770,210,-338,-546,-1272
194846,-100,-3,-919,-1680,770,140,-971,-229,-450
194886,-108,-3,-912,-1540,1120,0,-531,412,-282
194926,-69,-26,-1036,-1540,560,140,462,379,-951
194966,-93,-22,-982,-1680,980,210,289,-164,-1471
195006,-100,35,-818,-1540,770,70,-665,-485,-1069
195046,-182,-54,-943,-1610,490,140,-909,-69,-226
195086,-108,-54,-1048,-1680,1050,210,-113,541,-442
195126,-93,-61,-1169,-1540,490,210,552,198,-1271
195166,-100,-69,-1001,-1820,840,70,19,-453,-1375
195206,-77,-38,-916,-1540,910,70,-929,-358,-707
195246,-100,-7,-943,-1610,560,210,-656,259,-192
195286,-73,-3,-962,-1680,1120,140,327,442,-777
195326,-93,-34,-1091,-1470,700,70,404,-68,-1496
195366,-108,-77,-1111,-3290,0,210,-527,-491,-1129
195406,-100,-30,-1138,-2380,770,140,-946,-109,-255
195446,-58,47,-845,-1470,1120,70,-60,546,-461
195486,-175,-22,-955,-2380,910,210,529,184,-1276
195526,-89,-89,-1177,-2660,490,210,-60,-514,-1370
195566,4,-61,-1033,-2240,280,210,-940,-301,-581
195606,-93,0,-841,-2240,1120,140,-629,340,-227
195646,-77,-3,-1001,-1960,420,140,456,379,-925
195686,-58,-7,-849,-2100,630,140,274,-199,-1459
195726,-104,39,-939,-1960,910,210,-752,-448,-968
195766,-50,8,-1103,-1960,210,140,-808,50,-176
195806,-136,-11,-997,-2100,910,140,165,484,-619
195846,-97,20,-958,-1750,560,140,481,4,-1449
195886,-217,-61,-923,-2030,280,140,-431,-501,-1183
195926,-77,-81,-1181,-1890,980,140,-978,-169,-318
195966,-19,-34,-986,-1750,490,140,-156,549,-396
196006,-65,16,-834,-1960,700,70,535,215,-1226
196046,-3,-19,-1079,-1750,840,140,-113,-519,-1352
196086,-58,-11,-1001,-1750,350,70,-953,-274,-527
196126,-34,-7,-974,-1890,1050,70,-523,414,-264
196166,-229,121,-1446,-1680,560,140,499,337,-1034
196206,-186,-678,-1415,-3010,-210,350,288,-178,-1468
196246,172,285,179,-1470,1330,-490,32,-476,-1420
196286,-58,-65,109,665840,760620,524860,183,-368,-1436
196326,20,-892,-307,-144270,168070,15470,507,75,-1347
196366,-1220,-448,-1391,987210,-1651930,378840,-145,541,-346
196406,211,1478,1166,1033060,-908110,355250,-762,-403,-1042
196446,16,-249,-888,-7420,-17010,-26880,335,432,-604
196486,515,-619,-1044,-3990,-3220,-1330,-201,-547,-1419
196526,-432,-713,-1372,-2170,420,6720,-911,-101,-347
196566,-42,367,-1641,-1470,1050,-1120,-207,553,-237
196606,-537,640,-1836,-1330,700,210,355,405,-606
196646,651,-896,-120,-1400,350,-70,439,311,-770
196686,1271,-498,12,-1470,70,-70,375,374,-609
196726,-1040,-506,-1891,-1820,1190,420,-185,552,-199
196766,-1302,-1352,-1524,-1890,840,490,-912,-136,-573
196806,-826,43,-1988,-1540,1400,-280,77,-539,-1545
196846,-1157,632,-1364,-1960,910,70,132,509,-300
196886,1034,-381,-1758,-1610,910,-140,-738,-395,-1213
196926,398,1825,1217,-1890,140,210,331,394,-513
196966,332,238,-775,-1680,630,280,-636,-478,-1342
197006,-30,1486,398,-1050,700,280,-173,558,-142
197046,815,-721,-1594,-1190,350,-70,262,-245,-1482
197086,-607,1505,-1083,-2100,700,280,-877,-304,-1063
197126,-756,1080,125,-2240,840,70,-333,573,-95
197166,-245,1498,-997,-2170,1680,140,435,192,-771
197206,-639,952,86,-1960,140,420,169,-556,-1570
197246,655,-292,-1719,-2240,910,-210,-713,-415,-1292
197286,-604,-580,-978,-770,350,490,-882,-84,-650
197326,-756,-1302,-1984,-1190,140,210,-622,502,-78
197366,59,733,-1384,-3570,1050,140,-61,535,-163
197406,406,1903,-311,-2310,280,0,323,412,-391
197446,741,1825,-471,-2380,490,-280,418,256,-643
197486,566,920,-210,-1680,210,0,464,110,-881
197526,-533,359,-1852,-350,700,-280,415,35,-1020
197566,-596,-1294,-1321,-2030,-630,210,429,-5,-1054
197606,-22,-128,-276,-420,-840,-210,416,38,-991
197646,-288,-1317,-1364,-2310,630,0,467,124,-836
197686,-861,928,-268,-1750,2310,420,425,259,-602
197726,800,199,784,-1120,980,-70,330,401,-376
197766,-206,534,-1005,-2170,-210,210,21,519,-176
197806,254,-580,-900,-1960,-210,210,-337,578,-68
197846,-97,-1111,-1091,-2800,-770,560,-732,345,-122
197886,257,-432,-1419,-1890,70,210,-820,21,-529
197926,-194,433,-1454,-2310,70,420,-876,-230,-1007
197966,-241,-904,-1142,-2170,840,210,-757,-366,-1276
198006,195,-167,-912,-1610,770,210,-709,-438,-1352
198046,-147,-50,-1005,-1820,700,140,-892,-181,-849
198086,-128,-50,-1005,-1680,770,140,-182,550,-149
198126,-85,-50,-1001,-1680,910,140,223,-485,-1562
198166,-93,-26,-974,-1540,910,140,-344,572,-115
198206,-34,-19,-931,-1610,700,140,-792,-380,-1131
198246,-112,-22,-978,-1610,770,140,159,-475,-1510
198286,-89,-15,-986,-1540,840,140,372,-83,-1416
198326,-46,-3,-962,-1680,700,140,372,-73,-1418
198366,-69,-3,-990,-1680,700,140,237,-383,-1507
198406,-108,-42,-1052,-1540,700,140,-648,-443,-1195
198446,-42,-3,-951,-1470,700,210,-752,122,-153
198486,-46,16,-1013,-1540,910,140,481,312,-866
198526,-58,-7,-1001,-1610,910,140,-622,-488,-1229
198566,-38,-26,-1009,-1680,700,140,22,516,-394
198606,-178,187,-1902,-1680,280,70,-588,-474,-1202
198646,-962,-1590,-1602,-910,0,350,-13,537,-335
198686,534,-834,-502,-1470,700,0,446,-4,-1361
198726,-1504,-311,-1426,-1680,840,210,276,-318,-1535
198766,-931,51,-1832,-2310,770,560,368,-100,-1440
198806,378,-592,-120,-2240,280,420,363,418,-1380
198846,-303,1225,-405,-1610,1050,-420,492,161,-939
