T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
414327,355,55,-919,70,-5320,3430,-2803,-2438,-786
414367,347,55,-939,-630,-4970,3850,-2796,-2425,-769
414407,371,62,-943,10430,15680,3920,-2763,-2404,-775
414447,363,70,-943,10850,-2660,-9310,-2731,-2377,-810
414487,324,39,-912,7210,1610,-9730,-2732,-2320,-771
414527,374,62,-869,5600,45080,7980,-2728,-2312,-844
414567,390,98,-834,-8820,66990,17080,-2702,-2339,-974
414607,421,105,-884,26180,-6230,-9800,-2710,-2335,-1070
414647,425,113,-900,4340,-17920,-6650,-2729,-2287,-1060
414687,421,121,-900,5880,-700,-7280,-2748,-2276,-1065
414727,296,47,-939,1540,-9520,-6930,-2750,-2247,-1059
414767,437,70,-931,-3360,-9730,-13370,-2767,-2215,-1057
414807,359,137,-873,10850,9800,-1050,-2801,-2170,-1093
414847,406,125,-888,9450,5810,-5670,-2820,-2129,-1108
414887,527,164,-892,20860,12950,-17150,-2851,-2069,-1130
414927,402,133,-880,-2800,-7210,-8400,-2887,-2007,-1167
414967,433,121,-904,6020,5250,-980,-2872,-1956,-1156
415007,406,125,-896,2520,3710,-1400,-2879,-1939,-1165
415047,464,152,-900,1120,70,-1960,-2871,-1912,-1165
415087,374,113,-912,-1050,1890,-350,-2859,-1872,-1163
415127,402,148,-892,700,2520,-490,-2861,-1845,-1161
415167,433,137,-888,-840,1400,-140,-2860,-1822,-1164
415207,433,137,-888,0,630,-700,-2838,-1804,-1157
415247,433,140,-888,-280,1540,-490,-2802,-1787,-1176
415287,433,137,-888,-1330,490,-490,-2750,-1759,-1188
415327,433,148,-888,840,1470,-840,-2666,-1716,-1219
415367,433,140,-888,-2240,280,-280,-2567,-1636,-1248
415407,433,140,-884,-630,1750,140,-2404,-1520,-1269
415447,433,137,-884,-560,630,-910,-2214,-1321,-1272
415487,429,140,-888,-910,770,-70,-1982,-1151,-1245
415527,433,140,-884,-980,1610,-280,-1753,-957,-1181
415567,433,148,-880,-1680,-70,-560,-1509,-758,-1111
415607,429,140,-884,420,2520,-210,-1284,-597,-1019
415647,429,140,-880,-3010,-560,-630,-1061,-419,-874
415687,452,140,-884,-980,2870,280,-867,-228,-711
415727,425,140,-880,-2730,-980,-700,-739,-85,-550
415767,390,144,-884,-2310,6790,980,-590,61,-324
415807,425,144,-884,-1120,-3010,-910,-443,121,-147
415847,441,133,-873,-420,6020,840,-343,94,-68
415887,429,144,-896,-4620,-2730,-700,-298,67,-47
415927,441,140,-869,420,2590,280,-292,55,-48
415967,441,144,-884,-2310,630,-140,-310,40,-52
416007,429,144,-892,-1540,1190,140,-303,33,-51
416047,429,144,-877,-1330,980,-280,-300,33,-44
416087,441,140,-884,-1190,910,280,-306,33,-44
416127,425,140,-877,-1260,910,-350,-315,33,-50
416167,433,140,-896,-1750,280,140,-297,15,-42
416207,421,148,-877,-1330,1050,140,-303,19,-50
416247,433,148,-888,-1750,770,70,-299,30,-51
416287,437,148,-896,-1680,700,140,-296,26,-55
416327,429,148,-884,-1680,630,140,-296,23,-54
416367,433,148,-888,-1610,910,140,-296,30,-47
416407,433,140,-888,-2030,350,140,-299,30,-51
416447,433,148,-892,-1260,1330,70,-308,23,-44
416487,429,140,-892,-2030,420,70,-307,33,-43
416527,433,144,-888,-1680,840,70,-301,24,-47
416567,429,148,-884,-1400,1050,210,-310,27,-46
416607,437,137,-888,-2240,210,0,-310,22,-44
416647,433,140,-880,-1120,1400,210,-311,33,-50
416687,429,140,-880,-2310,70,0,-292,20,-47
416727,437,140,-880,-1190,1400,210,-304,19,-47
416767,433,137,-896,-2310,280,0,-304,26,-44
416807,437,144,-888,-1400,1050,210,-297,26,-51
416847,429,144,-880,-1820,770,0,-300,35,-50
416887,433,137,-884,-1820,630,70,-315,29,-50
416927,429,140,-884,-1680,910,140,-297,27,-46
416967,433,144,-884,-1750,700,70,-303,33,-55
417007,429,148,-884,-1750,840,0,-306,31,-54
417047,437,140,-888,-1960,490,70,-301,27,-50
417087,433,148,-884,-1330,1190,210,-308,31,-44
417127,433,144,-888,-2170,350,0,-310,26,-47
417167,437,148,-877,-1260,1190,210,-313,37,-58
417207,441,144,-884,-2100,280,0,-296,30,-63
417247,445,144,-877,-1330,1260,210,-301,26,-55
417287,437,140,-884,-2100,350,0,-311,27,-51
417327,433,137,-880,-1330,1120,210,-301,22,-43
417367,433,144,-884,-2030,420,0,-304,26,-55
417407,433,148,-880,-1540,910,210,-304,31,-42
417447,433,133,-880,-1680,910,70,-289,20,-43
417487,433,144,-884,-2380,70,0,-315,23,-44
417527,437,140,-884,-840,1680,350,-311,16,-51
417567,433,140,-884,-2590,0,-140,-296,24,-46
417607,441,140,-892,-1190,1120,280,-307,33,-43
417647,437,140,-892,-1680,980,70,-310,18,-47
417687,437,148,-880,-2170,210,0,-304,23,-40
417727,429,144,-884,-1050,1470,210,-290,35,-50
417767,433,148,-884,-2520,-70,-70,-308,20,-47
417807,433,148,-877,-980,1470,280,-304,22,-43
417847,433,140,-892,-2310,280,0,-304,26,-44
417887,433,140,-877,-1400,980,210,-299,24,-46
417927,433,152,-888,-1680,910,140,-306,36,-40
417967,433,137,-888,-2030,350,70,-297,31,-36
418007,433,140,-884,-1120,1470,280,-306,29,-36
418047,433,148,-877,-2590,0,-70,-307,19,-31
418087,437,140,-880,-840,1610,350,-308,25,-32
418127,441,144,-888,-2660,-70,-140,-303,22,-43
418167,437,144,-877,-770,1610,350,-312,16,-43
418207,429,140,-888,-2590,0,-140,-296,24,-55
418247,425,148,-880,-1190,1120,350,-301,24,-51
418287,437,140,-888,-1820,770,140,-304,27,-44
418327,429,144,-884,-2170,350,70,-303,20,-42
418367,437,137,-880,-980,1470,280,-303,19,-40
418407,429,140,-888,-2590,70,-140,-297,22,-38
418447,433,144,-884,-1120,1190,280,-308,18,-31
418487,441,144,-892,-1890,700,0,-304,22,-38
418527,413,148,-880,-2240,140,70,-307,19,-46
418567,445,133,-880,-770,1820,350,-310,23,-39
418607,437,137,-888,-3010,-490,-210,-308,9,-53
418647,441,152,-877,-350,1960,490,-305,15,-46
418687,441,152,-873,560,-140,-1470,-300,17,-55
418727,437,152,-880,-1330,420,70,-308,16,-38
418767,445,144,-880,-1260,1470,140,-314,21,-32
418807,441,140,-888,-2660,-280,-70,-305,16,-47
418847,429,140,-888,-490,2030,350,-318,25,-48
418887,433,148,-880,-3010,-490,-210,-307,13,-51
418927,441,144,-880,-700,1680,420,-305,16,-53
418967,437,144,-880,-2380,210,-70,-312,11,-51
419007,433,144,-880,-1330,1050,280,-311,27,-51
419047,433,144,-880,-1890,630,70,-315,20,-63
419087,437,140,-888,-1750,700,140,-321,16,-51
419127,437,140,-884,-1680,840,140,-319,18,-59
419167,429,144,-880,-1960,630,0,-318,24,-69
419207,437,144,-880,-1470,980,210,-314,15,-57
419247,433,148,-884,-2100,420,0,-326,22,-69
419287,437,140,-884,-1260,1120,280,-318,31,-59
419327,449,144,-880,-2170,420,-70,-318,19,-70
419367,445,152,-873,-1540,910,280,-326,17,-84
419407,437,140,-880,-1680,910,140,-318,26,-70
419447,429,144,-880,-2100,420,0,-308,23,-74
419487,437,148,-880,-1260,1190,210,-308,17,-70
419527,437,140,-877,-2240,350,0,-308,19,-74
419567,433,156,-888,-1400,1050,210,-312,24,-74
419607,433,137,-884,-1890,630,140,-308,16,-74
419647,437,152,-880,-1750,630,140,-305,17,-84
419687,437,144,-880,-1540,980,210,-314,23,-66
419727,437,144,-888,-2100,350,70,-315,13,-78
419767,437,140,-877,-1330,1260,280,-315,13,-81
419807,441,152,-888,-2100,350,70,-315,21,-84
419847,433,144,-873,-1400,1050,210,-309,10,-80
419887,433,148,-877,-2240,280,70,-322,8,-89
419927,433,137,-877,-1050,1400,280,-322,5,-84
419967,437,144,-892,-2590,0,-70,-315,9,-88
420007,433,144,-877,-980,1400,350,-306,0,-99
420047,437,140,-884,-2170,350,0,-333,10,-114
420087,456,144,-877,-1680,700,140,-330,-6,-110
420127,433,144,-865,-1330,1260,210,-331,-14,-119
420167,433,140,-888,-2520,-140,0,-336,-37,-140
420207,437,152,-880,-910,1680,280,-349,-38,-145
420247,437,137,-884,-2520,0,0,-358,-72,-155
420287,425,140,-888,-1260,1190,350,-359,-81,-189
420327,437,140,-877,-1890,700,70,-386,-143,-210
420367,433,140,-888,-2030,280,70,-379,-206,-246
420407,441,144,-880,-1050,1540,280,-430,-300,-289
420447,425,148,-884,-2590,-210,-70,-492,-449,-339
420487,441,152,-880,-980,1470,350,-586,-627,-420
420527,433,148,-884,-2310,280,0,-688,-871,-525
420567,437,148,-884,-1330,980,350,-838,-1182,-645
420607,437,137,-877,-1960,700,70,-991,-1524,-776
420647,433,144,-880,-1680,700,280,-1139,-1973,-913
420687,433,144,-888,-1680,980,140,-1382,-2599,-1059
