T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
27577,550,-315,-1138,4410,-9170,7630,-2963,990,-1131
29811,78,-268,-1306,10640,-2450,140,-2906,-1873,-2972
29813,78,-268,-1306,10640,-2450,140,-2906,-1873,-2972
29815,347,94,-1009,10640,-2450,140,-2906,-1873,-2972
29817,347,94,-1009,10640,-2450,140,-2906,-1873,-2972
29819,347,94,-1009,10640,-2450,630,351,1957,-1628
29821,347,94,-1009,-12040,6930,630,351,1957,-1628
29823,347,94,-1009,-12040,6930,630,351,1957,-1628
29825,-178,281,-771,-12040,6930,630,351,1957,-1628
29827,-178,281,-771,-12040,6930,630,351,1957,-1628
29829,-178,281,-771,-12040,6930,350,-474,-1747,-4752
29831,-178,281,-771,6790,-6860,350,-474,-1747,-4752
29833,-178,281,-771,6790,-6860,350,-474,-1747,-4752
29835,172,23,-1072,6790,-6860,350,-474,-1747,-4752
29837,172,23,-1072,6790,-6860,350,-474,-1747,-4752
29839,172,23,-1072,6790,-6860,490,-446,1978,-1307
29841,172,23,-1072,-7140,10640,490,-446,1978,-1307
29843,172,23,-1072,-7140,10640,490,-446,1978,-1307
29845,-389,144,-873,-7140,10640,490,-446,1978,-1307
29847,-389,144,-873,-7140,10640,490,-446,1978,-1307
29849,-389,144,-873,-7140,10640,420,1841,-364,-5629
29851,-389,144,-873,1050,-9450,420,1841,-364,-5629
29853,-389,144,-873,1050,-9450,420,1841,-364,-5629
29855,-19,43,-1068,1050,-9450,420,1841,-364,-5629
29857,-19,43,-1068,1050,-9450,420,1841,-364,-5629
29859,-19,43,-1068,1050,-9450,280,-1925,1771,-1225
29861,-19,43,-1068,-980,12040,280,-1925,1771,-1225
29863,-19,43,-1068,-980,12040,280,-1925,1771,-1225
29865,-315,-526,-1079,-980,12040,280,-1925,1771,-1225
29867,-315,-526,-1079,-980,12040,280,-1925,1771,-1225
29869,-315,-526,-1079,-980,12040,560,1617,486,-4922
29871,-315,-526,-1079,-5180,-9590,560,1617,486,-4922
29873,-315,-526,-1079,-5180,-9590,560,1617,486,-4922
29875,429,250,-717,-5180,-9590,560,1617,486,-4922
29877,429,250,-717,-5180,-9590,560,1617,486,-4922
29879,429,250,-717,-5180,-9590,140,-2515,1374,-1033
29881,429,250,-717,4970,10780,140,-2515,1374,-1033
29883,429,250,-717,4970,10780,140,-2515,1374,-1033
29885,-186,-346,-1446,4970,10780,140,-2515,1374,-1033
29887,-186,-346,-1446,4970,10780,140,-2515,1374,-1033
29889,-186,-346,-1446,4970,10780,770,1346,990,-3473
29891,-186,-346,-1446,-10920,-7560,770,1346,990,-3473
29893,-186,-346,-1446,-10920,-7560,770,1346,990,-3473
29895,347,347,-818,-10920,-7560,770,1346,990,-3473
29897,347,347,-818,-10920,-7560,770,1346,990,-3473
29899,347,347,-818,-10920,-7560,70,-3424,556,-1328
29901,347,347,-818,9240,7700,70,-3424,556,-1328
29903,347,347,-818,9240,7700,70,-3424,556,-1328
29905,51,31,-997,9240,7700,70,-3424,556,-1328
29907,51,31,-997,9240,7700,70,-3424,556,-1328
29909,51,31,-997,9240,7700,910,775,1346,-2414
29911,51,31,-997,-14070,-3710,910,775,1346,-2414
29913,51,31,-997,-14070,-3710,910,775,1346,-2414
29915,-217,441,-744,-14070,-3710,910,775,1346,-2414
29917,-217,441,-744,-14070,-3710,910,775,1346,-2414
29919,-217,441,-744,-14070,-3710,70,-3438,-1045,-2006
29921,-217,441,-744,11340,3290,70,-3438,-1045,-2006
29923,-217,441,-744,11340,3290,70,-3438,-1045,-2006
29925,-132,-331,-1173,11340,3290,70,-3438,-1045,-2006
29927,-132,-331,-1173,11340,3290,70,-3438,-1045,-2006
29929,-132,-331,-1173,11340,3290,700,915,1828,-1816
29931,-132,-331,-1173,-14630,1260,700,915,1828,-1816
29933,-132,-331,-1173,-14630,1260,700,915,1828,-1816
29935,-245,226,-841,-14630,1260,700,915,1828,-1816
29937,-245,226,-841,-14630,1260,700,915,1828,-1816
29939,-245,226,-841,-14630,1260,70,-2156,-2073,-3657
29941,-245,226,-841,11200,-1540,70,-2156,-2073,-3657
29943,-245,226,-841,11200,-1540,70,-2156,-2073,-3657
29945,125,-319,-1033,11200,-1540,70,-2156,-2073,-3657
29947,125,-319,-1033,11200,-1540,70,-2156,-2073,-3657
29949,125,-319,-1033,11200,-1540,700,8,1991,-1541
29951,125,-319,-1033,-12810,6160,700,8,1991,-1541
29953,125,-319,-1033,-12810,6160,700,8,1991,-1541
29955,125,39,-1001,-12810,6160,700,8,1991,-1541
29957,191,31,-1009,-12810,6160,700,8,1991,-1541
29959,191,31,-1009,-12810,6160,280,663,-1222,-5226
29961,191,31,-1009,7280,-6440,280,663,-1222,-5226
29963,191,31,-1009,7280,-6440,280,663,-1222,-5226
29965,191,31,-1009,7280,-6440,280,663,-1222,-5226
29967,211,8,-1087,7280,-6440,280,663,-1222,-5226
29969,211,8,-1087,7280,-6440,490,-713,1976,-1240
29971,211,8,-1087,-8050,10220,490,-713,1976,-1240
29973,211,8,-1087,-8050,10220,490,-713,1976,-1240
29975,211,8,-1087,-8050,10220,490,-713,1976,-1240
29977,78,109,-951,-8050,10220,490,-713,1976,-1240
29979,78,109,-951,-8050,10220,420,1493,38,-5590
29981,78,109,-951,2030,-9170,420,1493,38,-5590
29983,78,109,-951,2030,-9170,420,1493,38,-5590
29985,78,109,-951,2030,-9170,420,1493,38,-5590
29987,195,27,-1118,2030,-9170,420,1493,38,-5590
29989,195,27,-1118,2030,-9170,280,-2147,1624,-1098
29991,195,27,-1118,-2030,11830,280,-2147,1624,-1098
29993,195,27,-1118,-2030,11830,280,-2147,1624,-1098
29995,195,27,-1118,-2030,11830,280,-2147,1624,-1098
29997,-315,254,-752,-2030,11830,280,-2147,1624,-1098
29999,-315,254,-752,-2030,11830,700,1557,729,-4374
30001,-315,254,-752,-4270,-9730,700,1557,729,-4374
30003,-315,254,-752,-4270,-9730,700,1557,729,-4374
30005,-315,254,-752,-4270,-9730,700,1557,729,-4374
30007,59,-77,-1138,-4270,-9730,700,1589,626,-988
30009,59,-77,-1138,-4270,-9730,700,-2817,1153,-1055
30011,59,-77,-1138,4130,11060,140,-2817,1153,-1055
