T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
13534,27,-22,-958,-2450,2520,-910,-760,-207,-485
15796,39,39,-966,-1260,2310,700,-289,402,-640
15798,39,39,-966,-1260,2310,700,-289,402,-640
15800,39,39,-966,-1260,2310,700,-289,402,-640
15802,39,39,-966,-1260,2170,630,-289,402,-640
15804,86,0,-1056,-2100,2170,630,-363,336,-681
15806,86,0,-1056,-2100,2170,630,-363,336,-681
15808,86,0,-1056,-2100,2170,630,-363,336,-681
15810,86,0,-1056,-2100,2170,630,-363,336,-681
15812,86,0,-1056,-2100,2170,560,-363,336,-681
15814,59,-30,-962,-1120,2170,560,-462,314,-575
15816,59,-30,-962,-1120,2170,560,-462,314,-575
15818,59,-30,-962,-1120,2170,560,-462,314,-575
15820,59,-30,-962,-1120,2170,560,-462,314,-575
15822,59,-30,-962,-1120,1820,560,-462,314,-575
15824,70,-50,-1079,-2170,1820,560,-461,240,-572
15826,70,-50,-1079,-2170,1820,560,-461,240,-572
15828,70,-50,-1079,-2170,1820,560,-461,240,-572
15830,70,-50,-1079,-2170,1820,560,-461,240,-572
15832,70,-50,-1079,-2170,2240,840,-461,240,-572
15834,-30,16,-923,-1400,2240,840,-552,216,-536
15836,-30,16,-923,-1400,2240,840,-552,216,-536
15838,-30,16,-923,-1400,2240,840,-552,216,-536
15840,-30,16,-923,-1400,2240,840,-552,216,-536
15842,-30,16,-923,-1400,1750,700,-552,216,-536
15844,-19,39,-947,-2380,1750,700,-795,100,-598
15846,-19,39,-947,-2380,1750,700,-795,100,-598
15848,-19,39,-947,-2380,1750,700,-795,100,-598
15850,-19,39,-947,-2380,1750,700,-795,100,-598
15852,-19,39,-947,-2380,700,630,-795,100,-598
15854,94,27,-814,-1400,700,630,-1332,-29,-581
15856,94,27,-814,-1400,700,630,-1332,-29,-581
15858,94,27,-814,-1400,700,630,-1332,-29,-581
15860,94,27,-814,-1400,700,630,-1332,-29,-581
15862,94,27,-814,-1400,630,420,-1332,-29,-581
15864,62,8,-841,-1890,630,420,-1286,-155,-561
15866,62,8,-841,-1890,630,420,-1286,-155,-561
15868,62,8,-841,-1890,630,420,-1286,-155,-561
15870,62,8,-841,-1890,630,420,-1286,-155,-561
15872,62,8,-841,-1890,1050,350,-1286,-155,-561
15874,109,-22,-888,-910,1050,350,-1274,-230,-476
15876,113,-19,-888,-910,1050,350,-1274,-230,-476
15878,113,-19,-888,-910,1050,350,-1274,-230,-476
15880,113,-19,-888,-910,1050,350,-1274,-230,-476
15882,113,-19,-888,-910,1680,560,-1274,-230,-476
15884,113,-19,-888,-2030,1680,560,-1133,-275,-499
15886,47,-15,-982,-2030,1680,560,-1133,-275,-499
15888,47,-15,-982,-2030,1680,560,-1133,-275,-499
15890,47,-15,-982,-2030,1680,560,-1133,-275,-499
15892,47,-15,-982,-2030,1190,770,-1133,-275,-499
15894,47,-15,-982,-1610,1190,770,-1073,-291,-453
15896,-19,-46,-1064,-1610,1190,770,-1073,-291,-453
15898,-19,-46,-1064,-1610,1190,770,-1073,-291,-453
15900,-19,-46,-1064,-1610,1190,770,-1073,-291,-453
15902,-19,-46,-1064,-1610,1050,560,-1073,-291,-453
15904,-19,-46,-1064,-1890,1050,560,-911,-253,-451
15906,-3,-38,-1157,-1890,1050,560,-911,-253,-451
15908,-3,-38,-1157,-1890,1050,560,-911,-253,-451
15910,-3,-38,-1157,-1890,1050,560,-911,-253,-451
15912,-3,-38,-1157,-1890,560,280,-911,-253,-451
15914,-3,-38,-1157,-1050,560,280,-842,-243,-443
15916,-22,-7,-1083,-1050,560,280,-842,-243,-443
15918,-22,-7,-1083,-1050,560,280,-842,-243,-443
15920,-22,-7,-1083,-1050,560,280,-842,-243,-443
15922,-22,-7,-1083,-1050,1680,560,-842,-243,-443
15924,-22,-7,-1083,-1820,1680,560,-715,-168,-525
15926,101,-38,-1036,-1820,1680,560,-715,-168,-525
15928,101,-38,-1036,-1820,1680,560,-715,-168,-525
15930,101,-38,-1036,-1820,1680,560,-715,-168,-525
15932,101,-38,-1036,-1820,280,560,-715,-168,-525
15934,101,-38,-1036,-1680,280,560,-697,-150,-562
15936,-22,12,-986,-1680,280,560,-697,-150,-562
15938,-22,12,-986,-1680,280,560,-697,-150,-562
15940,-22,12,-986,-1680,280,560,-697,-150,-562
15942,-22,12,-986,-1680,910,350,-697,-150,-562
15944,-22,12,-986,-1540,910,350,-667,-71,-553
15946,78,-30,-1036,-1540,910,350,-667,-71,-553
15948,78,-30,-1036,-1540,910,350,-667,-71,-553
15950,78,-30,-1036,-1540,910,350,-667,-71,-553
15952,78,-30,-1036,-1540,1820,770,-667,-71,-553
