T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
41405,78,-93,-1036,-1750,1120,350,-284,-372,-156
43718,-77,-19,-943,-2310,1190,420,-220,-589,-133
43720,-81,-61,-904,-1260,700,420,-235,-591,-147
43722,-81,-61,-904,-1260,700,420,-235,-591,-147
43724,-81,-61,-904,-1260,700,420,-235,-591,-147
43726,-81,-61,-904,-1260,700,420,-235,-591,-147
43728,-81,-61,-904,-1260,700,420,-235,-591,-147
43730,-42,-15,-955,-1890,1330,420,-201,-556,-145
43732,-42,-15,-955,-1890,1330,420,-201,-556,-145
43734,-42,-15,-955,-1890,1330,420,-201,-556,-145
43736,-42,-15,-955,-1890,1330,420,-201,-556,-145
43738,-42,-15,-955,-1890,1330,420,-201,-556,-145
43740,-42,-81,-904,-1120,700,350,-230,-569,-149
43742,-42,-81,-904,-1120,700,350,-230,-569,-149
43744,-42,-81,-904,-1120,700,350,-230,-569,-149
43746,-42,-81,-904,-1120,700,350,-230,-569,-149
43748,-42,-81,-904,-1120,700,350,-230,-569,-149
43750,-7,-42,-974,-1960,1540,420,-187,-520,-150
43752,-7,-42,-974,-1960,1540,420,-187,-520,-150
43754,-7,-42,-974,-1960,1540,420,-187,-520,-150
43756,-7,-42,-974,-1960,1540,420,-187,-520,-150
43758,-7,-42,-974,-1960,1540,420,-187,-520,-150
43760,27,-15,-939,-1050,840,420,-180,-530,-152
43762,27,-15,-939,-1050,840,420,-180,-530,-152
43764,27,-15,-939,-1050,840,420,-180,-530,-152
43766,27,-15,-939,-1050,840,420,-180,-530,-152
43768,27,-15,-939,-1050,840,420,-180,-530,-152
43770,4,-69,-1029,-2380,1400,350,-102,-477,-128
43772,4,-69,-1029,-2380,1400,350,-102,-477,-128
43774,4,-69,-1029,-2380,1400,350,-102,-477,-128
43776,4,-69,-1029,-2380,1400,350,-102,-477,-128
43778,4,-69,-1029,-2380,1400,350,-102,-477,-128
43780,90,-11,-962,-1190,840,420,70,-468,-134
43782,90,-11,-962,-1190,840,420,70,-468,-134
43784,90,-11,-962,-1190,840,420,70,-468,-134
43786,90,-11,-962,-1190,840,420,70,-468,-134
43788,90,-11,-962,-1190,840,420,70,-468,-134
43790,39,-65,-1048,-2100,1260,420,239,-382,-108
43792,39,-65,-1048,-2100,1260,420,239,-382,-108
43794,39,-65,-1048,-2100,1260,420,239,-382,-108
43796,39,-65,-1048,-2100,1260,420,239,-382,-108
43798,39,-65,-1048,-2100,1260,420,239,-382,-108
43800,140,-38,-958,-1330,700,420,406,-372,-113
43802,140,-38,-958,-1330,700,420,406,-372,-113
43804,140,-38,-958,-1330,700,420,406,-372,-113
43806,140,-38,-958,-1330,700,420,406,-372,-113
43808,140,-38,-958,-1330,700,420,406,-372,-113
43810,101,-69,-1021,-1890,1260,490,518,-292,-81
43812,101,-69,-1021,-1890,1260,490,518,-292,-81
43814,101,-69,-1021,-1890,1260,490,518,-292,-81
43816,101,-69,-1021,-1890,1260,490,518,-292,-81
43818,101,-69,-1021,-1890,1260,490,518,-292,-81
43820,195,4,-951,-1190,560,420,575,-283,-110
43822,195,4,-951,-1190,560,420,575,-283,-110
43824,195,4,-951,-1190,560,420,575,-283,-110
43826,195,4,-951,-1190,560,420,575,-283,-110
43828,195,4,-951,-1190,560,420,575,-283,-110
43830,117,-81,-1036,-1680,1470,420,572,-224,-113
43832,117,-81,-1036,-1680,1470,420,572,-224,-113
43834,117,-81,-1036,-1680,1470,420,572,-224,-113
43836,117,-81,-1036,-1680,1470,420,572,-224,-113
43838,117,-81,-1036,-1680,1470,420,572,-224,-113
43840,207,-34,-1044,-1050,700,420,539,-232,-158
43842,207,-34,-1044,-1050,700,420,539,-232,-158
43844,207,-34,-1044,-1050,700,420,539,-232,-158
43846,207,-34,-1044,-1050,700,420,539,-232,-158
43848,207,-34,-1044,-1050,700,420,539,-232,-158
43850,207,-34,-1044,-1890,1540,350,525,-163,-145
43852,125,-50,-1029,-1890,1540,350,525,-163,-145
43854,125,-50,-1021,-1890,1540,350,525,-163,-145
43856,125,-50,-1021,-1890,1540,350,525,-163,-145
43858,125,-50,-1021,-1890,1540,350,525,-162,-173
43860,125,-50,-1021,-1260,770,420,491,-179,-172
43862,160,-81,-1036,-1260,770,420,491,-179,-172
43864,160,-81,-1036,-1260,770,420,491,-179,-172
43866,160,-81,-1036,-1260,770,420,491,-179,-172
43868,160,-81,-1036,-1260,770,420,493,-132,-155
43870,160,-81,-1036,-2100,1470,350,484,-132,-155
43872,133,-54,-1013,-2100,1470,350,484,-132,-155
43874,133,-54,-1013,-2100,1470,350,484,-132,-155
43876,133,-54,-1013,-2100,1470,350,484,-132,-155
43878,133,-54,-1013,-2100,1470,350,449,-155,-204
43880,133,-54,-1013,-1330,770,420,449,-155,-204
43882,90,-89,-1075,-1330,770,420,449,-155,-204
43884,90,-89,-1075,-1330,770,420,449,-155,-204
43886,90,-89,-1075,-1330,770,420,449,-155,-204
43888,90,-89,-1075,-1330,770,420,424,-95,-171
43890,90,-89,-1075,-2170,1330,420,424,-95,-171
43892,121,-65,-974,-2170,1330,420,424,-95,-171
43894,121,-65,-974,-2170,1330,420,424,-95,-171
43896,121,-65,-974,-2170,1330,420,424,-95,-171
43898,121,-65,-974,-2170,1330,420,404,-120,-216
