T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
6225,31,-30,-892,-5600,1120,70,-324,2,-457
8546,4,-54,-997,-4900,-1120,490,-752,-112,-473
8548,121,-81,-982,-4900,-1120,490,-752,-112,-473
8550,121,-81,-982,1750,2870,280,-752,-112,-473
8552,121,-81,-982,1750,2870,280,-752,-112,-473
8554,121,-81,-982,1750,2870,280,-952,-136,-415
8556,121,-81,-982,1750,2870,280,-952,-136,-415
8558,121,-81,-982,1750,2870,280,-952,-136,-415
8560,0,-46,-1017,-5040,-980,420,-952,-136,-415
8562,0,-46,-1017,-5040,-980,420,-952,-136,-415
8564,0,-46,-1017,-5040,-980,420,-994,-196,-489
8566,0,-46,-1017,-5040,-980,420,-994,-196,-489
8568,0,-46,-1017,-5040,-980,420,-994,-196,-489
8570,140,-73,-1001,1820,2800,280,-994,-196,-489
8572,140,-73,-1001,1820,2800,280,-994,-196,-489
8574,140,-73,-1001,1820,2800,280,-1076,-210,-424
8576,140,-73,-1001,1820,2800,280,-1076,-210,-424
8578,140,-73,-1001,1820,2800,280,-1076,-210,-424
8580,16,-34,-978,-5180,-770,420,-1076,-210,-424
8582,16,-34,-978,-5180,-770,420,-1077,-209,-440
8584,16,-34,-978,-5180,-770,420,-993,-267,-438
8586,16,-34,-978,-5180,-770,420,-993,-267,-438
8588,16,-34,-978,-5180,-770,420,-993,-267,-438
8590,152,-85,-1009,2030,2730,280,-993,-267,-438
8592,152,-85,-1009,2030,2730,280,-993,-277,-369
8594,152,-85,-1009,2030,2730,280,-1037,-279,-369
8596,152,-85,-1009,2030,2730,280,-1037,-279,-369
8598,152,-85,-1009,2030,2730,280,-1037,-279,-369
8600,23,-30,-986,-5320,-630,420,-1037,-279,-369
8602,23,-30,-986,-5320,-630,420,-945,-323,-415
8604,23,-30,-986,-5320,-630,420,-945,-323,-415
8606,23,-30,-986,-5320,-630,420,-945,-323,-415
8608,23,-30,-986,-5320,-630,420,-945,-323,-415
8610,144,-89,-1044,2030,2450,350,-945,-323,-415
8612,144,-89,-1044,2030,2450,350,-991,-338,-336
8614,144,-89,-1044,2030,2450,350,-991,-338,-336
8616,144,-89,-1044,2030,2450,350,-991,-338,-336
8618,144,-89,-1044,2030,2450,350,-991,-338,-336
8620,23,-46,-1025,-5390,-420,420,-991,-338,-336
8622,23,-46,-1025,-5390,-420,420,-903,-356,-380
8624,23,-46,-1025,-5390,-420,420,-903,-356,-380
8626,23,-46,-1025,-5390,-420,420,-903,-356,-380
8628,23,-46,-1025,-5390,-420,420,-903,-356,-380
8630,152,-73,-1021,2240,2310,280,-903,-356,-380
8632,152,-73,-1021,2240,2310,280,-953,-384,-326
8634,152,-73,-1021,2240,2310,280,-953,-384,-326
8636,152,-73,-1021,2240,2310,280,-953,-384,-326
8638,152,-73,-1021,2240,2310,280,-953,-384,-326
8640,27,-26,-994,-5460,-350,420,-953,-384,-326
8642,27,-26,-994,-5460,-350,420,-852,-384,-370
8644,27,-26,-994,-5460,-350,420,-852,-384,-370
8646,27,-26,-994,-5460,-350,420,-852,-384,-370
8648,27,-26,-994,-5460,-350,420,-852,-384,-370
8650,144,-73,-997,2310,2100,280,-852,-384,-370
8652,144,-73,-997,2310,2100,280,-880,-396,-309
8654,144,-73,-997,2310,2100,280,-880,-396,-309
8656,144,-73,-997,2310,2100,280,-880,-396,-309
8658,144,-73,-997,2310,2100,280,-880,-396,-309
8660,12,-19,-1001,-5600,-140,350,-880,-396,-309
8662,12,-19,-1001,-5600,-140,350,-783,-394,-366
8664,12,-19,-1001,-5600,-140,350,-783,-394,-366
8666,12,-19,-1001,-5600,-140,350,-783,-394,-366
8668,12,-19,-1001,-5600,-140,350,-783,-394,-366
8670,140,-61,-1056,2380,1890,280,-783,-394,-366
8672,140,-61,-1056,2380,1890,280,-809,-413,-305
8674,140,-61,-1056,2380,1890,280,-809,-413,-305
8676,140,-61,-1056,2380,1890,280,-809,-413,-305
8678,140,-61,-1056,2380,1890,280,-809,-413,-305
8680,31,-30,-970,-5600,140,350,-809,-413,-305
8682,31,-30,-970,-5600,140,350,-708,-399,-350
8684,31,-30,-970,-5600,140,350,-708,-399,-350
8686,31,-30,-970,-5600,140,350,-708,-399,-350
8688,31,-30,-970,-5600,140,350,-708,-399,-350
8690,148,-69,-1056,2380,1820,350,-708,-399,-350
8692,148,-69,-1056,2380,1820,350,-745,-420,-304
8694,148,-69,-1056,2380,1820,350,-745,-420,-304
8696,148,-69,-1056,2380,1820,350,-745,-420,-304
8698,148,-69,-1056,2380,1820,350,-745,-420,-304
8700,23,-19,-997,-5740,210,350,-745,-420,-304
8702,27,-19,-997,-5740,210,350,-629,-385,-352
8704,27,-19,-997,-5740,210,350,-629,-385,-352
8706,27,-19,-997,-5740,210,350,-629,-385,-352
8708,27,-19,-997,-5740,210,350,-629,-385,-352
8710,27,-19,-997,2450,1540,350,-629,-385,-352
8712,121,-89,-1075,2450,1540,350,-672,-410,-304
8714,121,-89,-1075,2450,1540,350,-672,-410,-304
8716,121,-89,-1075,2450,1540,350,-672,-410,-304
8718,121,-89,-1075,2450,1540,350,-672,-410,-304
8720,121,-89,-1075,-5810,420,420,-672,-410,-304
8722,4,-11,-970,-5810,420,420,-561,-377,-340
8724,4,-11,-970,-5810,420,420,-561,-377,-340
8726,4,-11,-970,-5810,420,420,-561,-377,-340
8728,4,-11,-970,-5810,420,420,-561,-377,-340
8730,4,-11,-970,2450,1400,280,-561,-377,-340
8732,129,-69,-1075,2450,1400,280,-630,-398,-291
8734,129,-69,-1075,2450,1400,280,-630,-398,-291
8736,129,-69,-1075,2450,1400,280,-630,-398,-291
8738,129,-69,-1075,2450,1400,280,-630,-398,-291
8740,129,-69,-1075,-5670,630,350,-630,-398,-291
8742,-3,4,-1001,-5670,630,350,-524,-365,-344
8744,-3,4,-1001,-5670,630,350,-524,-365,-344
8746,-3,4,-1001,-5670,630,350,-524,-365,-344
8748,-3,4,-1001,-5670,630,350,-524,-365,-344
8750,-3,4,-1001,2520,1120,350,-524,-365,-344
8752,109,-89,-1087,2520,1120,350,-565,-373,-306
8754,109,-89,-1087,2520,1120,350,-565,-373,-306
