T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
29098,20,788,-970,700,-1960,1400,375,78,-410
29100,20,788,-970,700,-1960,1400,375,78,-410
29102,335,-873,-865,700,-1960,1400,375,78,-410
29104,335,-873,-865,-3850,3920,-420,375,78,-410
29106,335,-873,-865,-3850,3920,-420,375,78,-410
29108,335,-873,-865,-3850,3920,-420,385,161,-413
29110,335,-873,-865,-3850,3920,-420,385,161,-413
29112,-77,788,-958,-3850,3920,-420,385,161,-413
29114,-77,788,-958,420,-2030,1820,385,161,-413
29116,-77,788,-958,420,-2030,1820,385,161,-413
29118,-77,788,-958,420,-2030,1820,351,117,-442
29120,-77,788,-958,420,-2030,1820,351,117,-442
29122,203,-916,-943,420,-2030,1820,351,117,-442
29124,203,-916,-943,-3360,3780,70,351,117,-442
29126,203,-916,-943,-3360,3780,70,351,117,-442
29128,203,-916,-943,-3360,3780,70,356,202,-438
29130,203,-916,-943,-3360,3780,70,356,202,-438
29132,-97,757,-1005,-3360,3780,70,356,202,-438
29134,-97,757,-1005,0,-1960,1820,356,202,-438
29136,-97,757,-1005,0,-1960,1820,356,202,-438
29138,-97,757,-1005,0,-1960,1820,281,171,-474
29140,-97,757,-1005,0,-1960,1820,281,171,-474
29142,304,-888,-869,0,-1960,1820,281,171,-474
29144,304,-888,-869,-3150,3850,-70,281,171,-474
29146,304,-888,-869,-3150,3850,-70,281,171,-474
29148,304,-888,-869,-3150,3850,-70,274,252,-459
29150,304,-888,-869,-3150,3850,-70,274,252,-459
29152,-89,753,-982,-3150,3850,-70,274,252,-459
29154,-89,753,-982,-350,-1960,1750,274,252,-459
29156,-89,753,-982,-350,-1960,1750,274,252,-459
29158,-89,753,-982,-350,-1960,1750,226,220,-500
29160,-89,753,-982,-350,-1960,1750,226,220,-500
29162,289,-849,-841,-350,-1960,1750,226,220,-500
29164,289,-849,-841,-2730,3850,350,226,220,-500
29166,289,-849,-841,-2730,3850,350,226,220,-500
29168,289,-849,-841,-2730,3850,350,191,275,-468
29170,289,-849,-841,-2730,3850,350,191,275,-468
29172,-50,768,-986,-2730,3850,350,191,275,-468
29174,-50,768,-986,-770,-1890,1540,191,275,-468
29176,-50,768,-986,-770,-1890,1540,191,275,-468
29178,-50,768,-986,-770,-1890,1540,133,230,-508
29180,-50,768,-986,-770,-1890,1540,133,230,-508
29182,230,-888,-884,-770,-1890,1540,133,230,-508
29184,230,-888,-884,-2240,3710,-140,133,230,-508
29186,230,-888,-884,-2240,3710,-140,133,230,-508
29188,230,-888,-884,-2240,3710,-140,91,281,-465
29190,230,-888,-884,-2240,3710,-140,91,281,-465
29192,-128,706,-1048,-2240,3710,-140,91,281,-465
29194,-128,706,-1048,-1260,-1820,1050,91,281,-465
29196,-128,706,-1048,-1260,-1820,1050,91,281,-465
29198,-128,706,-1048,-1260,-1820,1050,31,220,-524
29200,-128,706,-1048,-1260,-1820,1050,31,220,-524
29202,289,-923,-923,-1260,-1820,1050,31,220,-524
29204,289,-923,-923,-1680,3570,-350,31,220,-524
29206,289,-923,-923,-1680,3570,-350,31,220,-524
29208,289,-923,-923,-1680,3570,-350,-24,259,-474
29210,289,-923,-923,-1680,3570,-350,-24,259,-474
29212,-77,757,-1009,-1680,3570,-350,-24,259,-474
29214,-77,757,-1009,-1750,-1540,910,-24,259,-474
29216,-77,757,-1009,-1750,-1540,910,-24,259,-474
29218,-77,757,-1009,-1750,-1540,910,-55,209,-530
29220,-77,757,-1009,-1750,-1540,910,-55,209,-530
29222,265,-939,-927,-1750,-1540,910,-55,209,-530
29224,273,-939,-927,-1120,3360,-70,-55,209,-530
29226,273,-939,-927,-1120,3360,-70,-55,209,-530
29228,273,-939,-927,-1120,3360,-70,-113,214,-485
29230,273,-939,-927,-1120,3360,-70,-113,214,-485
29232,273,-939,-927,-1120,3360,-70,-113,214,-485
29234,-93,780,-1009,-2310,-1400,1120,-113,214,-485
29236,-93,780,-1009,-2310,-1400,1120,-113,214,-485
29238,-93,780,-1009,-2310,-1400,1120,-142,162,-518
29240,-93,780,-1009,-2310,-1400,1120,-142,162,-518
29242,-93,780,-1009,-2310,-1400,1120,-142,162,-518
29244,316,-900,-869,-910,3290,70,-142,162,-518
29246,316,-900,-869,-910,3290,70,-142,162,-518
29248,316,-900,-869,-910,3290,70,-184,176,-435
29250,316,-900,-869,-910,3290,70,-184,176,-435
29252,316,-900,-869,-910,3290,70,-184,176,-435
29254,-136,741,-1021,-2590,-1260,980,-184,176,-435
29256,-136,741,-1021,-2590,-1260,980,-184,176,-435
29258,-136,741,-1021,-2590,-1260,980,-186,117,-460
29260,-136,741,-1021,-2590,-1260,980,-186,117,-460
29262,-136,741,-1021,-2590,-1260,980,-186,117,-460
29264,308,-947,-1005,-210,3080,350,-186,117,-460
29266,308,-947,-1005,-210,3080,350,-185,132,-400
29268,308,-947,-1005,-210,3080,350,-239,130,-400
29270,308,-947,-1005,-210,3080,350,-239,130,-400
29272,308,-947,-1005,-210,3080,350,-239,130,-400
29274,-100,749,-1025,-3290,-1050,1120,-239,130,-400
29276,-100,749,-1025,-3290,-1050,1120,-227,78,-439
29278,-100,749,-1025,-3290,-1050,1120,-227,78,-439
29280,-100,749,-1025,-3290,-1050,1120,-227,78,-439
29282,-100,749,-1025,-3290,-1050,1120,-227,78,-439
29284,491,-966,-1060,350,2800,700,-227,78,-439
29286,491,-966,-1060,350,2800,700,-269,90,-388
29288,491,-966,-1060,350,2800,700,-269,90,-388
29290,491,-966,-1060,350,2800,700,-269,90,-388
29292,491,-966,-1060,350,2800,700,-269,90,-388
29294,-112,788,-982,-3710,-910,1330,-269,90,-388
29296,-112,788,-982,-3710,-910,1330,-253,34,-431
29298,-112,788,-982,-3710,-910,1330,-253,34,-431
29300,-112,788,-982,-3710,-910,1330,-253,34,-431
29302,-112,788,-982,-3710,-910,1330,-253,34,-431
29304,218,-865,-900,350,2800,630,-253,34,-431
29306,218,-865,-900,350,2800,630,-350,38,-378
29308,218,-865,-900,350,2800,630,-350,38,-378
29310,218,-865,-900,350,2800,630,-350,38,-378
29312,218,-865,-900,350,2800,630,-350,38,-378
29314,-155,749,-1017,-3780,-770,910,-350,38,-378
29316,-155,749,-1017,-3780,-770,910,-481,-41,-453
29318,-155,749,-1017,-3780,-770,910,-481,-41,-453
29320,-155,749,-1017,-3780,-770,910,-481,-41,-453
29322,-155,749,-1017,-3780,-770,910,-481,-41,-453
29324,324,-927,-939,770,2660,70,-481,-41,-453
29326,324,-927,-939,770,2660,70,-775,-83,-409
29328,324,-927,-939,770,2660,70,-775,-83,-409
29330,324,-927,-939,770,2660,70,-775,-83,-409
29332,324,-927,-939,770,2660,70,-775,-83,-409
29334,-194,683,-1072,-4410,-420,0,-775,-83,-409
29336,-194,683,-1072,-4410,-420,0,-912,-161,-469
29338,-194,683,-1072,-4410,-420,0,-912,-161,-469
29340,-194,683,-1072,-4410,-420,0,-912,-161,-469
29342,-194,683,-1072,-4410,-420,0,-912,-161,-469
29344,628,-966,-1099,1610,2100,210,-912,-161,-469
29346,628,-966,-1099,1610,2100,210,-1072,-191,-418
29348,628,-966,-1099,1610,2100,210,-1072,-191,-418
29350,628,-966,-1099,1610,2100,210,-1072,-191,-418
29352,628,-966,-1099,1610,2100,210,-1072,-191,-418
29354,-214,714,-1036,-5040,-140,280,-1072,-191,-418
29356,-214,714,-1036,-5040,-140,280,-987,-270,-434
29358,-214,714,-1036,-5040,-140,280,-987,-270,-434
29360,-214,714,-1036,-5040,-140,280,-987,-270,-434
29362,-214,714,-1036,-5040,-140,280,-987,-270,-434
29364,254,-947,-978,1960,1960,-70,-987,-270,-434
29366,254,-947,-978,1960,1960,-70,-1015,-293,-357
29368,254,-947,-978,1960,1960,-70,-1015,-293,-357
