T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
53842,-194,312,-724,-9450,2240,770,1608,-24,-5563
55950,-253,117,-845,-10850,8400,490,1245,1523,-1943
55952,-253,117,-845,-10850,8400,490,1245,1523,-1943
55954,-253,117,-845,-10850,8400,490,1245,1523,-1943
55956,-253,117,-845,-10850,8400,490,1245,1523,-1943
55958,-253,117,-845,4270,-8400,420,1245,1523,-1943
55960,-124,160,-787,4270,-8400,420,-3041,-2050,-2898
55962,-124,160,-787,4270,-8400,420,-3041,-2050,-2898
55964,-124,160,-787,4270,-8400,420,-3041,-2050,-2898
55966,-124,160,-787,4270,-8400,420,-3041,-2050,-2898
55968,-124,160,-787,-4060,11690,420,-3041,-2050,-2898
55970,-7,-373,-1189,-4060,11690,420,331,1900,-1565
55972,-7,-373,-1189,-4060,11690,420,331,1900,-1565
55974,-7,-373,-1189,-4060,11690,420,331,1900,-1565
55976,-7,-373,-1189,-4060,11690,420,331,1900,-1565
55978,-7,-373,-1189,-3360,-9870,560,331,1900,-1565
55980,-7,-373,-1189,-3360,-9870,560,-30,-1788,-4961
55982,-19,176,-978,-3360,-9870,560,-30,-1788,-4961
55984,-19,176,-978,-3360,-9870,560,-30,-1788,-4961
55986,-19,176,-978,-3360,-9870,560,-30,-1788,-4961
55988,-19,176,-978,3780,11480,210,-30,-1788,-4961
55990,-19,176,-978,3780,11480,210,-598,1900,-1206
55992,289,-272,-1274,3780,11480,210,-598,1900,-1206
55994,289,-272,-1274,3780,11480,210,-598,1900,-1206
55996,289,-272,-1274,3780,11480,210,-598,1900,-1206
55998,289,-272,-1274,-10360,-7770,700,-598,1900,-1206
56000,289,-272,-1274,-10360,-7770,700,1687,-156,-5634
56002,47,343,-795,-10360,-7770,700,1687,-156,-5634
56004,47,343,-795,-10360,-7770,700,1687,-156,-5634
56006,47,343,-795,-10360,-7770,700,1687,-156,-5634
56008,47,343,-795,9800,7770,140,1732,-298,-956
56010,47,343,-795,9800,7770,140,-2170,1542,-1060
56012,0,-233,-1095,9800,7770,140,-2170,1542,-1060
56014,0,-233,-1095,9800,7770,140,-2170,1542,-1060
56016,0,-233,-1095,9800,7770,140,-2170,1542,-1060
56018,0,-233,-1095,-14630,-3150,770,-2241,552,-4188
56020,0,-233,-1095,-14630,-3150,770,1600,698,-4149
56022,-272,390,-674,-14630,-3150,770,1600,698,-4149
56024,-272,390,-674,-14630,-3150,770,1600,698,-4149
56026,-272,390,-674,-14630,-3150,770,1600,698,-4149
56028,-272,390,-674,11970,2380,70,-3052,901,-1108
56030,-272,390,-674,11970,2380,70,-3052,901,-1108
56032,70,-370,-1068,11970,2380,70,-3052,901,-1108
56034,70,-370,-1068,11970,2380,70,-3052,901,-1108
56036,70,-370,-1068,11970,2380,70,-3052,901,-1108
56038,70,-370,-1068,-14560,2940,700,1012,1184,-2673
56040,70,-370,-1068,-14560,2940,700,1012,1184,-2673
56042,-85,-73,-1177,-14560,2940,700,1012,1184,-2673
56044,-85,-73,-1177,-14560,2940,700,1012,1184,-2673
56046,-85,-73,-1177,-14560,2940,700,1012,1184,-2673
56048,-85,-73,-1177,10080,-3710,210,-3933,-866,-1793
56050,-85,-73,-1177,10080,-3710,210,-3933,-866,-1793
56052,293,-19,-1134,10080,-3710,210,-3933,-866,-1793
56054,293,-19,-1134,10080,-3710,210,-3933,-866,-1793
