T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
118797,82,-42,-955,-1400,420,350,284,-461,35
118799,0,-30,-986,-1400,1820,490,284,-461,35
118801,0,-30,-986,-1960,1820,490,284,-461,35
118803,0,-30,-986,-1960,1820,490,474,-372,80
118805,0,-30,-986,-1960,1820,490,474,-372,80
118807,0,-30,-986,-1960,1820,490,474,-372,80
118809,78,-73,-982,-1960,420,350,474,-372,80
118811,78,-73,-982,-1400,420,350,474,-372,80
118813,78,-73,-982,-1400,420,350,569,-353,64
118815,78,-73,-982,-1400,420,350,569,-353,64
118817,78,-73,-982,-1400,420,350,569,-353,64
118819,-15,-46,-986,-1400,1680,490,569,-353,64
118821,-15,-46,-986,-1820,1680,490,569,-353,64
118823,-15,-46,-986,-1820,1680,490,567,-263,58
118825,-15,-46,-986,-1820,1680,490,567,-263,58
118827,-15,-46,-986,-1820,1680,490,567,-263,58
118829,82,-61,-955,-1820,1680,350,567,-263,58
118831,82,-61,-955,-1330,350,350,567,-263,58
118833,82,-61,-955,-1330,350,350,523,-263,-1
118835,82,-61,-955,-1330,350,350,523,-263,-1
118837,82,-61,-955,-1330,350,350,523,-263,-1
118839,-26,-22,-978,-1330,350,490,523,-263,-1
118841,-26,-22,-978,-1960,1750,490,523,-263,-1
118843,-26,-22,-978,-1960,1750,490,508,-201,17
118845,-26,-22,-978,-1960,1750,490,508,-201,17
118847,-26,-22,-978,-1960,1750,490,508,-201,17
118849,66,-69,-962,-1960,1750,350,508,-201,17
118851,66,-69,-962,-1260,210,350,508,-201,17
118853,66,-69,-962,-1260,210,350,472,-206,-23
118855,66,-69,-962,-1260,210,350,472,-206,-23
118857,66,-69,-962,-1260,210,350,472,-206,-23
118859,-15,-50,-958,-1260,210,490,472,-206,-23
118861,-15,-50,-958,-1960,1890,490,472,-206,-23
118863,-15,-50,-958,-1960,1890,490,442,-147,5
118865,-15,-50,-958,-1960,1890,490,442,-147,5
118867,-15,-50,-958,-1960,1890,490,442,-147,5
118869,94,-61,-974,-1960,1890,350,442,-147,5
118871,94,-61,-974,-1470,490,350,442,-147,5
118873,94,-61,-974,-1470,490,350,400,-167,-55
118875,94,-61,-974,-1470,490,350,400,-167,-55
118877,94,-61,-974,-1470,490,350,400,-167,-55
118879,-30,-42,-962,-1470,490,490,400,-167,-55
118881,-30,-42,-962,-2170,1960,490,400,-167,-55
118883,-30,-42,-962,-2170,1960,490,352,-120,-11
118885,-30,-42,-962,-2170,1960,490,352,-120,-11
118887,-30,-42,-962,-2170,1960,490,352,-120,-11
118889,98,-69,-951,-2170,1960,350,352,-120,-11
118891,98,-69,-951,-980,210,350,352,-120,-11
118893,98,-69,-951,-980,210,350,299,-142,-54
118895,98,-69,-951,-980,210,350,299,-142,-54
118897,98,-69,-951,-980,210,350,299,-142,-54
118899,-26,-38,-970,-980,210,560,299,-142,-54
118901,-22,-34,-970,-2310,1960,560,299,-142,-54
118903,-22,-34,-970,-2310,1960,560,229,-119,-10
118905,-22,-34,-970,-2310,1960,560,229,-119,-10
118907,-22,-34,-970,-2310,1960,560,229,-119,-10
118909,-22,-34,-970,-2310,1960,350,229,-119,-10
118911,94,-69,-943,-700,-70,350,229,-119,-10
118913,94,-69,-943,-700,-70,350,204,-165,-61
118915,94,-69,-943,-700,-70,350,204,-165,-61
118917,94,-69,-943,-700,-70,350,204,-165,-61
118919,94,-69,-943,-700,-70,490,204,-165,-61
118921,-7,-22,-974,-2170,1750,490,204,-165,-61
118923,-7,-22,-974,-2170,1750,490,124,-144,-14
118925,-7,-22,-974,-2170,1750,490,124,-144,-14
118927,-7,-22,-974,-2170,1750,490,124,-144,-14
118929,-7,-22,-974,-2170,1750,420,124,-144,-14
118931,78,-50,-958,-1120,210,420,124,-142,-70
118933,78,-50,-958,-1120,210,420,96,-200,-69
118935,78,-50,-958,-1120,210,420,96,-200,-69
118937,78,-50,-958,-1120,210,420,96,-200,-69
118939,78,-50,-958,-1120,210,490,96,-200,-69
118941,-19,-22,-982,-2310,2030,490,98,-176,-27
118943,-19,-22,-982,-2310,2030,490,39,-178,-28
118945,-19,-22,-982,-2310,2030,490,39,-178,-28
118947,-19,-22,-982,-2310,2030,490,39,-178,-28
118949,-19,-22,-982,-2310,2030,350,39,-178,-28
118951,62,-100,-958,-1050,350,350,27,-218,-57
118953,62,-100,-958,-1050,350,350,27,-218,-57
118955,62,-100,-958,-1050,350,350,27,-218,-57
118957,62,-100,-958,-1050,350,350,27,-218,-57
118959,62,-100,-958,-1050,350,490,27,-218,-57
118961,-22,-54,-962,-2520,2100,490,-26,-223,8
118963,-22,-54,-962,-2520,2100,490,-26,-223,8
118965,-22,-54,-962,-2520,2100,490,-26,-223,8
118967,-22,-54,-962,-2520,2100,490,-26,-223,8
118969,-22,-54,-962,-2520,2100,350,-26,-223,8
118971,86,-97,-958,-560,70,350,-26,-268,5
118973,86,-97,-958,-560,70,350,-26,-268,5
118975,86,-97,-958,-560,70,350,-26,-268,5
118977,86,-97,-958,-560,70,350,-26,-268,5
118979,86,-97,-958,-560,70,490,-26,-268,5
118981,0,-15,-931,-2380,1890,490,-78,-273,61
118983,0,-15,-931,-2380,1890,490,-78,-273,61
118985,0,-15,-931,-2380,1890,490,-78,-273,61
118987,0,-15,-931,-2380,1890,490,-78,-273,61
118989,0,-15,-931,-2380,1890,420,-78,-273,61
118991,51,-58,-970,-630,0,420,-58,-306,30
118993,51,-58,-970,-630,0,420,-58,-306,30
118995,51,-58,-970,-630,0,420,-58,-306,30
118997,51,-58,-970,-630,0,420,-58,-306,30
118999,51,-58,-970,-630,0,490,-58,-306,30
119001,-22,-26,-931,-2450,1820,490,-111,-304,82
119003,-22,-26,-931,-2450,1820,490,-111,-304,82
119005,-22,-26,-931,-2450,1820,490,-111,-304,82
119007,-22,-26,-931,-2450,1820,490,-111,-304,82
119009,-22,-26,-931,-2450,1820,350,-111,-304,82
119011,82,-26,-935,-910,210,350,-89,-343,19
119013,82,-26,-935,-910,210,350,-89,-343,19
119015,82,-26,-935,-910,210,350,-89,-343,19
119017,82,-26,-935,-910,210,350,-89,-343,19
119019,82,-26,-935,-910,210,560,-89,-343,19
119021,-22,-22,-951,-2590,2100,560,-188,-367,64
119023,-22,-22,-951,-2590,2100,560,-188,-367,64
119025,-22,-22,-951,-2590,2100,560,-188,-367,64
119027,-22,-22,-951,-2590,2100,560,-188,-367,64
119029,-22,-22,-951,-2590,2100,420,-188,-367,64
119031,62,-58,-958,-630,210,420,-317,-429,18
119033,62,-58,-958,-630,210,420,-317,-429,18
119035,62,-58,-958,-630,210,420,-317,-429,18
119037,62,-58,-958,-630,210,420,-317,-429,18
119039,62,-58,-958,-630,210,420,-317,-429,18
119041,-19,-38,-955,-2590,1960,420,-612,-484,48
119043,-19,-38,-955,-2590,1960,420,-612,-484,48
119045,-19,-38,-955,-2590,1960,420,-612,-484,48
119047,-19,-38,-955,-2590,1960,420,-612,-484,48
119049,-19,-38,-955,-2590,1960,350,-612,-484,48
119051,74,-69,-966,-630,70,350,-753,-552,-6
119053,74,-69,-966,-630,70,350,-753,-552,-6
119055,74,-69,-966,-630,70,350,-753,-552,-6
