T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
15537,66,20,-771,-1260,1330,490,103,-116,-6
15539,66,20,-771,-1260,1330,490,103,-116,-6
15541,66,20,-771,-1260,1330,490,103,-116,-6
15543,62,35,-904,-2030,910,490,103,-116,-6
15545,62,35,-904,-2030,910,490,58,-181,-63
15547,62,35,-904,-2030,910,490,58,-181,-63
15549,62,35,-904,-2030,910,490,58,-181,-63
15551,62,35,-904,-2030,910,490,58,-181,-63
15553,78,55,-857,-1190,1190,490,58,-181,-63
15555,78,55,-857,-1190,1190,490,-24,-176,7
15557,78,55,-857,-1190,1190,490,-24,-176,7
15559,78,55,-857,-1190,1190,490,-24,-176,7
15561,78,55,-857,-1190,1190,490,-24,-176,7
15563,66,70,-951,-2100,980,420,-24,-176,7
15565,66,70,-951,-2100,980,420,-50,-248,11
15567,66,70,-951,-2100,980,420,-50,-248,11
15569,66,70,-951,-2100,980,420,-50,-248,11
15571,66,70,-951,-2100,980,420,-50,-248,11
15573,133,66,-947,-1120,1190,420,-50,-248,11
15575,133,66,-947,-1120,1190,420,-128,-254,80
15577,133,66,-947,-1120,1190,420,-128,-254,80
15579,133,66,-947,-1120,1190,420,-128,-254,80
15581,133,66,-947,-1120,1190,420,-128,-254,80
15583,35,43,-1013,-2100,910,420,-128,-254,80
15585,35,43,-1013,-2100,910,420,-93,-302,39
15587,35,43,-1013,-2100,910,420,-93,-302,39
15589,35,43,-1013,-2100,910,420,-93,-302,39
15591,35,43,-1013,-2100,910,420,-93,-302,39
15593,-3,-15,-1087,-1190,1120,490,-93,-302,39
15595,-3,-15,-1087,-1190,1120,490,-175,-314,80
15597,-3,-15,-1087,-1190,1120,490,-175,-314,80
15599,-3,-15,-1087,-1190,1120,490,-175,-314,80
15601,-3,-15,-1087,-1190,1120,490,-175,-314,80
15603,-30,-34,-1103,-2100,1050,490,-175,-314,80
15605,-30,-34,-1103,-2100,1050,490,-358,-406,32
15607,-30,-34,-1103,-2100,1050,490,-358,-406,32
15609,-30,-34,-1103,-2100,1050,490,-358,-406,32
