T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
23102,-3,-61,-978,-980,1120,420,-540,-548,-365
25399,-15,-46,-1103,-1820,1330,490,-810,-606,-371
25401,-15,-46,-1103,-1820,1330,490,-699,-586,-385
25403,-54,-19,-1122,-1820,1330,490,-699,-586,-385
25405,-54,-19,-1122,-1820,1330,490,-699,-586,-385
25407,-54,-19,-1122,-1820,1330,490,-699,-586,-385
25409,-54,-19,-1122,-1470,700,490,-699,-586,-385
25411,-54,-19,-1122,-1470,700,490,-697,-590,-359
25413,-3,-46,-1103,-1470,700,490,-697,-590,-359
25415,-3,-46,-1103,-1470,700,490,-697,-590,-359
25417,-3,-46,-1103,-1470,700,490,-697,-590,-359
25419,-3,-46,-1103,-1680,1400,490,-697,-590,-359
25421,-3,-46,-1103,-1680,1400,490,-594,-560,-370
25423,-42,-54,-1126,-1680,1400,490,-594,-560,-370
25425,-42,-54,-1126,-1680,1400,490,-594,-560,-370
25427,-42,-54,-1126,-1680,1400,490,-594,-560,-370
25429,-42,-54,-1126,-1540,700,490,-594,-560,-370
25431,-42,-54,-1126,-1540,700,490,-590,-575,-343
25433,0,-50,-1114,-1540,700,490,-590,-575,-343
25435,0,-50,-1114,-1540,700,490,-590,-575,-343
25437,0,-50,-1114,-1540,700,490,-590,-575,-343
25439,0,-50,-1114,-1750,1470,490,-590,-575,-343
25441,0,-50,-1114,-1750,1470,490,-507,-536,-374
25443,-19,-50,-1118,-1750,1470,490,-507,-536,-374
25445,-19,-50,-1118,-1750,1470,490,-507,-536,-374
25447,-19,-50,-1118,-1750,1470,490,-507,-536,-374
25449,-19,-50,-1118,-1610,770,490,-507,-536,-374
25451,-19,-50,-1118,-1610,770,490,-514,-534,-408
25453,-7,-69,-1130,-1610,770,490,-514,-534,-408
25455,-7,-69,-1130,-1610,770,490,-514,-534,-408
25457,-7,-69,-1130,-1610,770,490,-514,-534,-408
25459,-7,-69,-1130,-1680,1470,420,-514,-534,-408
25461,-7,-69,-1130,-1680,1470,420,-434,-478,-427
25463,-22,-38,-1146,-1680,1470,420,-434,-478,-427
25465,-22,-38,-1146,-1680,1470,420,-434,-478,-427
25467,-22,-38,-1146,-1680,1470,420,-434,-478,-427
25469,-22,-38,-1146,-1540,700,490,-434,-478,-427
25471,-22,-38,-1146,-1540,700,490,-442,-481,-450
25473,23,-65,-1111,-1540,700,490,-442,-481,-450
25475,23,-65,-1111,-1540,700,490,-442,-481,-450
25477,23,-65,-1111,-1540,700,490,-442,-481,-450
25479,23,-65,-1111,-1540,1400,420,-442,-481,-450
25481,23,-65,-1111,-1540,1400,420,-402,-445,-475
25483,-19,-58,-1142,-1540,1400,420,-402,-445,-475
25485,-19,-58,-1142,-1540,1400,420,-402,-445,-475
25487,-19,-58,-1142,-1540,1400,420,-402,-445,-475
25489,-19,-58,-1142,-1610,700,420,-402,-445,-475
25491,-19,-58,-1142,-1610,700,420,-419,-443,-477
25493,8,-77,-1118,-1610,700,420,-419,-443,-477
25495,8,-77,-1118,-1610,700,420,-419,-443,-477
25497,8,-77,-1118,-1610,700,420,-419,-443,-477
25499,8,-77,-1118,-1610,1400,490,-419,-443,-477
25501,8,-77,-1118,-1610,1400,490,-398,-385,-479
25503,4,-73,-1134,-1610,1400,490,-398,-385,-479
25505,4,-73,-1134,-1610,1400,490,-398,-385,-479
25507,4,-73,-1134,-1610,1400,490,-398,-385,-479
25509,4,-73,-1134,-1680,700,420,-398,-385,-479
25511,4,-73,-1134,-1680,700,420,-391,-377,-488
25513,12,-77,-1142,-1680,700,420,-391,-377,-488
25515,12,-77,-1142,-1680,700,420,-391,-377,-488
25517,12,-77,-1142,-1680,700,420,-391,-377,-488
