T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
12338,152,-54,-1126,70,3430,630,-2105,-731,479
12340,152,-54,-1126,70,3430,630,-2105,-731,479
12342,43,140,-861,-8750,350,-70,-545,-213,-718
12344,43,140,-861,-8750,350,-70,-545,-213,-718
12346,43,140,-861,-8750,350,-70,-545,-213,-718
12348,43,140,-861,-8750,350,-70,-545,-213,-718
12350,43,140,-861,-8750,350,-70,-545,-213,-718
12352,-15,59,-927,8120,-910,770,230,538,-1236
12354,-15,59,-927,8120,-910,770,230,538,-1236
12356,-15,59,-927,8120,-910,770,230,538,-1236
12358,-15,59,-927,8120,-910,770,230,538,-1236
12360,-15,59,-927,8120,-910,770,230,538,-1236
12362,-7,-182,-1134,-11130,4200,-70,-554,440,-269
12364,-7,-182,-1134,-11130,4200,-70,-554,440,-269
12366,-7,-182,-1134,-11130,4200,-70,-554,440,-269
12368,-7,-182,-1134,-11130,4200,-70,-554,440,-269
12370,-7,-182,-1134,-11130,4200,-70,-554,440,-269
12372,125,156,-861,4480,-2030,560,-2003,-309,829
12374,125,156,-861,4480,-2030,560,-2003,-309,829
12376,125,156,-861,4480,-2030,560,-2003,-309,829
12378,125,156,-861,4480,-2030,560,-2003,-309,829
12380,125,156,-861,4480,-2030,560,-2003,-309,829
12382,-77,-139,-1185,-1680,3570,490,-2274,-763,727
12384,-77,-139,-1185,-1680,3570,490,-2274,-763,727
12386,-77,-139,-1185,-1680,3570,490,-2274,-763,727
12388,-77,-139,-1185,-1680,3570,490,-2274,-763,727
12390,-77,-139,-1185,-1680,3570,490,-2274,-763,727
12392,-104,62,-865,-7350,-140,-70,-811,-326,-544
12394,-104,62,-865,-7350,-140,-70,-811,-326,-544
12396,-104,62,-865,-7350,-140,-70,-811,-326,-544
12398,-104,62,-865,-7350,-140,-70,-811,-326,-544
12400,-104,62,-865,-7350,-140,-70,-811,-326,-544
12402,12,-19,-982,7910,-70,840,170,462,-1255
12404,12,-19,-982,7910,-70,840,170,462,-1255
12406,12,-19,-982,7910,-70,840,170,462,-1255
12408,12,-19,-982,7910,-70,840,170,462,-1255
12410,12,-19,-982,7910,-70,840,170,462,-1255
12412,12,-19,-982,-11760,3850,-70,-340,510,-450
12414,35,-69,-1040,-11760,3850,-70,-340,510,-450
12416,35,-69,-1040,-11760,3850,-70,-340,510,-450
12418,35,-69,-1040,-11760,3850,-70,-340,510,-450
12420,35,-69,-1040,-11760,3850,-70,-340,510,-450
12422,35,-69,-1040,5530,-2590,490,-1976,-207,701
12424,-186,59,-923,5530,-2590,490,-1976,-207,701
12426,-186,59,-923,5530,-2590,490,-1976,-207,701
12428,-186,59,-923,5530,-2590,490,-1976,-207,701
12430,-186,59,-923,5530,-2590,490,-1976,-207,701
12432,-186,59,-923,-3710,3990,420,-2361,-750,851
12434,-34,-229,-1259,-3710,3990,420,-2361,-750,851
12436,-34,-229,-1259,-3710,3990,420,-2361,-750,851
12438,-34,-229,-1259,-3710,3990,420,-2361,-750,851
12440,-34,-229,-1259,-3710,3990,420,-2361,-750,851
12442,-34,-229,-1259,-5460,-560,0,-1074,-436,-361
12444,-89,168,-775,-5460,-560,0,-1074,-436,-361
12446,-89,168,-775,-5460,-560,0,-1074,-436,-361
12448,-89,168,-775,-5460,-560,0,-1074,-436,-361
12450,-89,168,-775,-5460,-560,0,-1074,-436,-361
12452,-89,168,-775,7070,490,840,58,373,-1240
12454,144,-3,-1033,7070,490,840,58,373,-1240
12456,144,-3,-1033,7070,490,840,58,373,-1240
12458,144,-3,-1033,7070,490,840,58,373,-1240
12460,144,-3,-1033,7070,490,840,58,373,-1240
12462,144,-3,-1033,-11900,3290,-140,-129,567,-615
12464,105,-73,-986,-11900,3290,-140,-129,567,-615
12466,105,-73,-986,-11900,3290,-140,-129,567,-615
12468,105,-73,-986,-11900,3290,-140,-129,567,-615
12470,105,-73,-986,-11900,3290,-140,-129,567,-615
12472,105,-73,-986,6790,-2240,630,-1801,-66,542
12474,-77,121,-877,6790,-2240,630,-1801,-66,542
12476,-77,121,-877,6790,-2240,630,-1801,-66,542
12478,-77,121,-877,6790,-2240,630,-1801,-66,542
12480,-77,121,-877,6790,-2240,630,-1801,-66,542
12482,-77,121,-877,-5320,4270,420,-2405,-721,968
12484,172,-163,-1150,-5320,4270,420,-2405,-721,968
12486,172,-163,-1150,-5320,4270,420,-2405,-721,968
12488,172,-163,-1150,-5320,4270,420,-2405,-721,968
12490,172,-163,-1150,-5320,4270,420,-2405,-721,968
12492,172,-163,-1150,-4200,-1330,70,-1350,-523,-167
12494,-276,125,-752,-4200,-1330,70,-1350,-523,-167
12496,-276,125,-752,-4200,-1330,70,-1350,-523,-167
12498,-276,125,-752,-4200,-1330,70,-1350,-523,-167
12500,-276,125,-752,-4200,-1330,70,-1350,-523,-167
12502,-276,125,-752,5810,980,770,-100,272,-1202
