T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
5208,-34,-54,-1072,-1120,2380,-7210,-682,-380,-1317
5210,-34,-54,-1072,-1120,2380,-7210,-682,-380,-1317
5212,-34,-54,-1072,-1120,2380,-7210,117,66,-1995
5214,-34,-54,-1072,-1120,2380,-7210,117,66,-1995
5216,66,43,-1005,-980,3500,-70,117,66,-1995
5218,66,43,-1005,-980,3500,-70,117,66,-1995
5220,66,43,-1005,-980,3500,-70,117,66,-1995
5222,66,43,-1005,-980,3500,-70,398,593,-1750
5224,66,43,-1005,-980,3500,-70,398,593,-1750
5226,47,62,-951,-1400,3570,2450,398,593,-1750
5228,47,62,-951,-1400,3570,2450,398,593,-1750
5230,47,62,-951,-1400,3570,2450,398,593,-1750
5232,47,62,-951,-1400,3570,2450,-204,763,-983
5234,47,62,-951,-1400,3570,2450,-204,763,-983
5236,-15,35,-935,-1330,3710,2800,-204,763,-983
5238,-15,35,-935,-1330,3710,2800,-204,763,-983
5240,-15,35,-935,-1330,3710,2800,-204,763,-983
5242,-15,35,-935,-1330,3710,2800,-967,92,-506
5244,-15,35,-935,-1330,3710,2800,-967,92,-506
5246,-30,-26,-974,-1190,2450,2870,-967,92,-506
5248,-26,-22,-974,-1190,2450,2870,-967,92,-506
5250,-26,-22,-974,-1190,2450,2870,-967,92,-506
5252,-26,-22,-974,-1190,2450,2870,-910,-318,-1044
5254,-26,-22,-974,-1190,2450,2870,-910,-318,-1044
5256,-26,-22,-974,-770,700,2870,-910,-318,-1044
5258,8,-132,-1107,-770,700,2870,-910,-318,-1044
5260,8,-132,-1107,-770,700,2870,-910,-318,-1044
5262,8,-132,-1107,-770,700,2870,-70,-167,-1819
5264,8,-132,-1107,-770,700,2870,-70,-167,-1819
5266,8,-132,-1107,-1680,-140,2240,-70,-167,-1819
5268,8,27,-912,-1680,-140,2240,-70,-167,-1819
5270,8,27,-912,-1680,-140,2240,-70,-167,-1819
5272,8,27,-912,-1680,-140,2240,404,470,-1930
5274,8,27,-912,-1680,-140,2240,404,470,-1930
5276,8,27,-912,-3570,1680,1260,404,470,-1930
5278,-112,0,-912,-3570,1680,1260,404,470,-1930
5280,-112,0,-912,-3570,1680,1260,404,470,-1930
5282,-112,0,-912,-3570,1680,1260,84,772,-1220
5284,-112,0,-912,-3570,1680,1260,84,772,-1220
5286,-112,0,-912,-1400,1890,840,84,772,-1220
5288,31,55,-1021,-1400,1890,840,84,772,-1220
5290,31,55,-1021,-1400,1890,840,84,772,-1220
5292,31,55,-1021,-1400,1890,840,-771,280,-535
5294,31,55,-1021,-1400,1890,840,-771,280,-535
5296,31,55,-1021,-2590,1120,840,-771,280,-535
5298,-978,4,-791,-2590,1120,840,-771,280,-535
5300,-978,4,-791,-2590,1120,840,-771,280,-535
5302,-978,4,-791,-2590,1120,840,-1016,-210,-801
5304,-978,4,-791,-2590,1120,840,-1016,-210,-801
5306,-978,4,-791,-1400,-3640,1540,-1016,-210,-801
5308,238,-175,-1220,-1400,-3640,1540,-1016,-210,-801
5310,238,-175,-1220,-1400,-3640,1540,-1016,-210,-801
5312,238,-175,-1220,-1400,-3640,1540,-371,-384,-1605
5314,238,-175,-1220,-1400,-3640,1540,-371,-384,-1605
5316,238,-175,-1220,-1470,1400,1260,-371,-384,-1605
5318,4,168,-888,-1470,1400,1260,-371,-384,-1605
5320,4,168,-888,-1470,1400,1260,-375,-372,-2001
5322,4,168,-888,-1470,1400,1260,320,305,-2015
