T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
7006,55,0,-1060,-1330,630,350,321,253,-2038
7008,55,0,-1060,-1540,1260,280,287,695,-1469
7010,-22,39,-951,-1540,1260,280,287,695,-1469
7012,-22,39,-951,-1540,1260,280,287,695,-1469
7014,-22,39,-951,-1540,1260,280,287,695,-1469
7016,-22,39,-951,-1540,1260,280,287,695,-1469
7018,-22,39,-951,-1680,840,280,-524,549,-717
7020,20,43,-994,-1680,840,280,-524,549,-717
7022,20,43,-994,-1680,840,280,-524,549,-717
7024,20,43,-994,-1680,840,280,-524,549,-717
7026,20,43,-994,-1680,840,280,-524,549,-717
7028,20,43,-994,-1260,980,280,-1053,-103,-596
7030,43,4,-873,-1260,980,280,-1053,-103,-596
7032,43,4,-873,-1260,980,280,-1053,-103,-596
7034,43,4,-873,-1260,980,280,-1053,-103,-596
7036,43,4,-873,-1260,980,280,-1053,-103,-596
7038,43,4,-873,-1960,1190,210,-675,-380,-1331
7040,-85,16,-916,-1960,1190,210,-675,-380,-1331
7042,-85,16,-916,-1960,1190,210,-675,-380,-1331
7044,-85,16,-916,-1960,1190,210,-675,-380,-1331
7046,-85,16,-916,-1960,1190,210,-675,-380,-1331
7048,-85,16,-916,-1260,630,280,172,112,-2012
7050,-46,35,-1134,-1260,630,280,172,112,-2012
7052,-46,35,-1134,-1260,630,280,172,112,-2012
7054,-46,35,-1134,-1260,630,280,172,112,-2012
7056,-46,35,-1134,-1260,630,280,172,112,-2012
7058,-46,35,-1134,-1680,1190,280,370,627,-1672
7060,0,4,-873,-1680,1190,280,370,627,-1672
7062,4,8,-873,-1680,1190,280,370,627,-1672
7064,4,8,-873,-1680,1190,280,370,627,-1672
7066,4,8,-873,-1680,1190,280,370,627,-1672
7068,4,8,-873,-1610,770,350,-311,724,-896
7070,4,8,-873,-1610,770,350,-311,724,-896
7072,-61,51,-1013,-1610,770,350,-311,724,-896
7074,-61,51,-1013,-1610,770,350,-311,724,-896
7076,-61,51,-1013,-1610,770,350,-311,724,-896
7078,-61,51,-1013,-1260,1050,280,-1002,21,-514
7080,-61,51,-1013,-1260,1050,280,-1002,21,-514
7082,-97,12,-1033,-1260,1050,280,-1002,21,-514
7084,-97,12,-1033,-1260,1050,280,-1002,21,-514
7086,-97,12,-1033,-1260,1050,280,-1002,21,-514
7088,-97,12,-1033,-2030,980,280,-847,-351,-1141
7090,-97,12,-1033,-2030,980,280,-847,-351,-1141
7092,-15,23,-1056,-2030,980,280,-847,-351,-1141
7094,-15,23,-1056,-2030,980,280,-847,-351,-1141
7096,-15,23,-1056,-2030,980,280,-847,-351,-1141
7098,-15,23,-1056,-1190,700,280,17,-56,-1904
7100,-15,23,-1056,-1190,700,280,17,-56,-1904
7102,27,-15,-1013,-1190,700,280,17,-56,-1904
7104,27,-15,-1013,-1190,700,280,17,-56,-1904
7106,27,-15,-1013,-1190,700,280,17,-56,-1904
7108,27,-15,-1013,-1750,1260,210,408,536,-1843
7110,27,-15,-1013,-1750,1260,210,408,536,-1843
7112,-69,0,-927,-1750,1260,210,408,536,-1843
7114,-69,0,-927,-1750,1260,210,408,536,-1843
7116,-69,0,-927,-1750,1260,210,408,536,-1843
7118,-69,0,-927,-1470,770,280,-1,800,-1122
7120,-69,0,-927,-1470,770,280,-1,800,-1122
7122,-69,-19,-1107,-1470,770,280,-1,800,-1122
7124,-69,-19,-1107,-1470,770,280,-1,800,-1122
7126,-69,-19,-1107,-1470,770,280,-1,800,-1122
7128,-69,-19,-1107,-1330,1120,210,-862,199,-508
7130,-69,-19,-1107,-1330,1120,210,-862,199,-508
7132,16,-19,-1044,-1330,1120,210,-862,199,-508
7134,16,-19,-1044,-1330,1120,210,-862,199,-508
7136,16,-19,-1044,-1330,1120,210,-862,199,-508
7138,16,-19,-1044,-1960,980,280,-995,-274,-905
7140,16,-19,-1044,-1960,980,280,-995,-274,-905
7142,-93,-46,-994,-1960,980,280,-995,-274,-905
7144,-93,-46,-994,-1960,980,280,-995,-274,-905
7146,-93,-46,-994,-1960,980,280,-995,-274,-905
7148,-93,-46,-994,-1120,770,350,-215,-296,-1706
7150,-93,-46,-994,-1120,770,350,-215,-296,-1706
7152,12,59,-939,-1120,770,350,-215,-296,-1706
7154,12,59,-939,-1120,770,350,-215,-296,-1706
7156,12,59,-939,-1120,770,350,-215,-296,-1706
7158,12,59,-939,-1820,1260,350,365,396,-1976
7160,12,59,-939,-1820,1260,350,365,396,-1976
7162,27,12,-935,-1820,1260,350,365,396,-1976
7164,27,12,-935,-1820,1260,350,365,396,-1976
7166,27,12,-935,-1820,1260,350,365,396,-1976
7168,27,12,-935,-1540,630,210,173,751,-1305
7170,27,12,-935,-1540,630,210,173,751,-1305
7172,-19,-26,-1013,-1540,630,210,173,751,-1305
7174,-19,-26,-1013,-1540,630,210,173,751,-1305
7176,-19,-26,-1013,-1540,630,210,173,751,-1305
7178,-19,-26,-1013,-1400,1260,210,-715,366,-568
7180,-19,-26,-1013,-1400,1260,210,-715,366,-568
7182,94,90,-962,-1400,1260,210,-715,366,-568
7184,94,90,-962,-1400,1260,210,-715,366,-568
7186,94,90,-962,-1400,1260,210,-715,366,-568
7188,94,90,-962,-1890,910,280,-1036,-191,-718
7190,94,90,-962,-1890,910,280,-1036,-191,-718
7192,12,35,-919,-1890,910,280,-1036,-191,-718
7194,12,35,-919,-1890,910,280,-1036,-191,-718
7196,12,35,-919,-1890,910,280,-1036,-191,-718
7198,12,35,-919,-1190,910,210,-458,-411,-1521
7200,12,35,-919,-1190,910,210,-458,-411,-1521
7202,90,-61,-1189,-1190,910,210,-458,-411,-1521
7204,90,-61,-1189,-1190,910,210,-458,-411,-1521
7206,90,-61,-1189,-1190,910,210,-458,-411,-1521
7208,90,-61,-1189,-1820,1260,280,302,258,-2011
7210,90,-61,-1189,-1820,1260,280,302,258,-2011
7212,-34,31,-1060,-1820,1260,280,302,258,-2011
7214,-34,31,-1060,-1820,1260,280,302,258,-2011
7216,-34,31,-1060,-1820,1260,280,302,258,-2011
7218,-34,31,-1060,-1330,700,280,307,713,-1497
7220,-34,31,-1060,-1330,700,280,307,713,-1497
7222,-34,31,-1060,-1330,700,280,307,713,-1497
7224,27,23,-1036,-1330,700,280,307,713,-1497
7226,27,23,-1036,-1330,700,280,307,713,-1497
7228,27,23,-1036,-1540,1260,210,-570,542,-720
7230,27,23,-1036,-1540,1260,210,-570,542,-720
7232,27,23,-1036,-1540,1260,210,-570,542,-720
7234,109,-34,-1017,-1540,1260,210,-570,542,-720
7236,109,-34,-1017,-1540,1260,210,-570,542,-720
7238,109,-34,-1017,-1750,910,280,-1038,-87,-584
7240,109,-34,-1017,-1750,910,280,-1038,-87,-584
7242,109,-34,-1017,-1750,910,280,-1038,-87,-584
7244,-54,31,-966,-1750,910,280,-1038,-87,-584
7246,-54,31,-966,-1750,910,280,-1038,-87,-584
7248,-54,31,-966,-1120,980,280,-673,-406,-1360
7250,-54,31,-966,-1120,980,280,-673,-406,-1360
7252,-54,31,-966,-1120,980,280,-673,-406,-1360
7254,-61,-11,-1072,-1120,980,280,-673,-406,-1360
7256,-61,-11,-1072,-1120,980,280,-673,-406,-1360
7258,-61,-11,-1072,-1890,1260,280,163,137,-1982
7260,-61,-11,-1072,-1890,1260,280,163,137,-1982
7262,-61,-11,-1072,-1890,1260,280,163,137,-1982
7264,31,39,-873,-1890,1260,280,163,137,-1982
7266,31,39,-873,-1890,1260,280,163,137,-1982
7268,31,39,-873,-1330,630,280,404,635,-1661
7270,31,39,-873,-1330,630,280,404,635,-1661
7272,31,39,-873,-1330,630,280,404,635,-1661
7274,-26,47,-994,-1330,630,280,404,635,-1661
7276,-26,47,-994,-1330,630,280,404,635,-1661
7278,-26,47,-994,-1610,1400,210,-355,699,-869
7280,-26,47,-994,-1610,1400,210,-355,699,-869
7282,-26,47,-994,-1610,1400,210,-355,699,-869
7284,-54,-26,-1095,-1610,1400,210,-355,699,-869
7286,-54,-26,-1095,-1610,1400,210,-376,55,-501
7288,-54,-26,-1095,-1750,840,280,-1004,31,-507
7290,-54,-26,-1095,-1750,840,280,-1004,31,-507
7292,-54,-26,-1095,-1750,840,280,-1004,31,-507
7294,-46,27,-1009,-1750,840,280,-1004,31,-507
7296,-46,27,-1009,-1750,840,280,-827,-379,-1182
7298,-46,27,-1009,-1260,1050,210,-827,-379,-1182
7300,-46,27,-1009,-1260,1050,210,-827,-379,-1182
7302,-46,27,-1009,-1260,1050,210,-827,-379,-1182
7304,-22,-42,-1087,-1260,1050,210,-827,-379,-1182
7306,-22,-42,-1087,-1260,1050,210,15,-22,-1898
7308,-22,-42,-1087,-1960,1120,210,15,-22,-1898
7310,-22,-42,-1087,-1960,1120,210,15,-22,-1898
7312,-22,-42,-1087,-1960,1120,210,15,-22,-1898
7314,-50,8,-951,-1960,1120,210,15,-22,-1898
7316,-50,8,-951,-1960,1120,210,437,550,-1837
7318,-50,8,-951,-1260,700,280,437,550,-1837
