T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
4266,43,-19,-966,-1050,2100,-840,-854,882,127
4268,43,-19,-966,-1050,2100,-840,-854,882,127
4270,43,-19,-966,-1050,2100,-840,-854,882,127
4272,43,-19,-966,-1050,2100,-840,-854,882,127
4274,31,62,-947,-1050,2100,-840,-854,882,127
4276,31,62,-947,-3640,-2870,-280,-754,-857,-658
4278,31,62,-947,-3640,-2870,-280,-754,-857,-658
4280,31,62,-947,-3640,-2870,-280,-754,-857,-658
4282,31,62,-947,-3640,-2870,-280,-754,-857,-658
4284,62,-7,-990,-3640,-2870,-280,-754,-857,-658
4286,62,-7,-990,-7630,-6090,-490,-1187,-374,-1068
4288,62,-7,-990,-7630,-6090,-490,-1187,-374,-1068
4290,62,-7,-990,-7630,-6090,-490,-1187,-374,-1068
4292,62,-7,-990,-7630,-6090,-490,-1187,-374,-1068
4294,0,-19,-947,-7630,-6090,-490,-1187,-374,-1068
4296,0,-19,-947,-6790,-6580,-280,919,797,-1492
4298,0,-19,-947,-6790,-6580,-280,919,797,-1492
4300,0,-19,-947,-6790,-6580,-280,919,797,-1492
4302,0,-19,-947,-6790,-6580,-280,919,797,-1492
4304,-136,-120,-994,-6790,-6580,-280,919,797,-1492
4306,-136,-120,-994,-7560,-3570,910,-742,-126,-690
4308,-136,-120,-994,-7560,-3570,910,-742,-126,-690
4310,-136,-120,-994,-7560,-3570,910,-742,-126,-690
4312,-136,-120,-994,-7560,-3570,910,-742,-126,-690
4314,-93,-54,-1001,-7560,-3570,910,-742,-126,-690
4316,-93,-54,-1001,-4760,-1960,1890,-1306,617,197
4318,-93,-54,-1001,-4760,-1960,1890,-1306,617,197
4320,-93,-54,-1001,-4760,-1960,1890,-1306,617,197
4322,-93,-54,-1001,-4760,-1960,1890,-1306,617,197
4324,-58,-34,-958,-4760,-1960,1890,-1306,617,197
4326,-58,-34,-958,1960,5950,980,-424,-802,-1004
4328,-58,-34,-958,1960,5950,980,-424,-802,-1004
4330,-58,-34,-958,1960,5950,980,-424,-802,-1004
4332,-58,-34,-958,1960,5950,980,-424,-802,-1004
4334,-58,-120,-1025,1960,5950,980,-428,-791,-1354
4336,-58,-120,-1025,3640,8960,140,-866,-236,-1377
4338,-58,-120,-1025,3640,8960,140,-866,-236,-1377
4340,-58,-120,-1025,3640,8960,140,-866,-236,-1377
4342,-58,-120,-1025,3640,8960,140,-866,-236,-1377
4344,179,172,-1177,3640,8960,140,-817,1008,-1145
4346,179,172,-1177,8610,8610,700,776,1069,-1129
4348,179,172,-1177,8610,8610,700,776,1069,-1129
4350,179,172,-1177,8610,8610,700,776,1069,-1129
4352,179,172,-1177,8610,8610,700,776,1069,-1129
4354,117,-19,-990,8610,8610,700,-948,-279,-435
4356,117,-19,-990,6230,10780,-560,-948,-279,-435
4358,117,-19,-990,6230,10780,-560,-948,-279,-435
4360,117,-19,-990,6230,10780,-560,-948,-279,-435
4362,117,-19,-990,6230,10780,-560,-948,-279,-435
4364,117,-19,-990,6230,10780,-560,-1599,311,42
4366,4,-50,-1036,490,-490,-420,-1599,311,42
4368,4,-50,-1036,490,-490,-420,-1599,311,42
4370,4,-50,-1036,490,-490,-420,-1599,311,42
4372,4,-50,-1036,490,-490,-420,-1599,311,42
4374,4,-50,-1036,490,-490,-420,26,-652,-1304
4376,59,74,-1009,-140,-6930,1190,26,-652,-1304
4378,59,74,-1009,-140,-6930,1190,26,-652,-1304
4380,59,74,-1009,-140,-6930,1190,26,-652,-1304
4382,59,74,-1009,-140,-6930,1190,26,-652,-1304
4384,59,74,-1009,-140,-6930,1190,-693,-162,-1460
4386,-30,-11,-1099,-3290,-9660,2450,-693,-162,-1460
4388,-30,-11,-1099,-3290,-9660,2450,-693,-162,-1460
4390,-30,-11,-1099,-3290,-9660,2450,-693,-162,-1460
4392,-30,-11,-1099,-3290,-9660,2450,-693,-162,-1460
4394,-30,-11,-1099,-3290,-9660,2450,408,1267,-710
4396,8,27,-986,-4270,-11970,4760,408,1267,-710
4398,8,27,-986,-4270,-11970,4760,408,1267,-710
4400,8,27,-986,-4270,-11970,4760,408,1267,-710
4402,8,27,-986,-4270,-11970,4760,408,1267,-710
4404,8,27,-986,-4270,-11970,4760,-1012,-613,-240
4406,43,-186,-1056,-7420,-10920,10360,-1012,-613,-240
4408,43,-186,-1056,-7420,-10920,10360,-1012,-613,-240
4410,43,-186,-1056,-7420,-10920,10360,-1012,-613,-240
4412,43,-186,-1056,-7420,-10920,10360,-1012,-613,-240
4414,43,-186,-1056,-7420,-10920,10360,-1692,16,-265
4416,-327,-81,-966,-4340,-10080,21560,-1692,16,-265
4418,-327,-81,-966,-4340,-10080,21560,-1692,16,-265
4420,-327,-81,-966,-4340,-10080,21560,-1692,16,-265
4422,-327,-81,-966,-4340,-10080,21560,-1692,16,-265
4424,-327,-81,-966,-4340,-10080,21560,500,-208,-1574
4426,-116,113,-978,5110,-560,28700,500,-208,-1574
4428,-116,113,-978,5110,-560,28700,500,-208,-1574
4430,-116,113,-978,5110,-560,28700,500,-208,-1574
4432,-116,113,-978,5110,-560,28700,500,-208,-1574
4434,-116,113,-978,5110,-560,28700,-580,-112,-1319
4436,-202,-19,-1013,4410,10010,30030,-580,-112,-1319
4438,-202,-19,-1013,4410,10010,30030,-580,-112,-1319
4440,-202,-19,-1013,4410,10010,30030,-580,-112,-1319
