T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
37600,-7,12,-1001,-6370,-1890,2240,-1678,-2659,-1968
37602,-7,12,-1001,-6370,-1890,2240,-1678,-2659,-1968
37604,-19,8,-994,-6370,-1890,2240,-1678,-2659,-1968
37606,-19,8,-994,-5250,-2450,2310,-1678,-2659,-1968
37608,-19,8,-994,-5250,-2450,2310,-1650,-2647,-1970
37610,-19,8,-994,-5250,-2450,2310,-1650,-2647,-1970
37612,-19,8,-994,-5250,-2450,2310,-1650,-2647,-1970
37614,-42,-15,-990,-5250,-2450,2310,-1650,-2647,-1970
37616,-42,-15,-990,-5040,-1050,1610,-1650,-2647,-1970
37618,-42,-15,-990,-5040,-1050,1610,-1662,-2662,-1957
37620,-42,-15,-990,-5040,-1050,1610,-1662,-2662,-1957
37622,-42,-15,-990,-5040,-1050,1610,-1662,-2662,-1957
37624,-50,-3,-997,-5040,-1050,1610,-1662,-2662,-1957
37626,-50,-3,-997,-5040,1120,1330,-1662,-2662,-1957
37628,-50,-3,-997,-5040,1120,1330,-1654,-2651,-1976
37630,-50,-3,-997,-5040,1120,1330,-1654,-2651,-1976
37632,-50,-3,-997,-5040,1120,1330,-1654,-2651,-1976
37634,-26,-15,-978,-5040,1120,1330,-1654,-2651,-1976
37636,-26,-15,-978,-5740,4480,980,-1654,-2651,-1976
37638,-26,-15,-978,-5740,4480,980,-1661,-2643,-1961
37640,-26,-15,-978,-5740,4480,980,-1661,-2643,-1961
37642,-26,-15,-978,-5740,4480,980,-1661,-2643,-1961
37644,-22,8,-986,-5740,4480,980,-1661,-2643,-1961
37646,-22,8,-986,-5880,6720,1260,-1661,-2643,-1961
37648,-22,8,-986,-5880,6720,1260,-1672,-2641,-1963
37650,-22,8,-986,-5880,6720,1260,-1672,-2641,-1963
37652,-22,8,-986,-5880,6720,1260,-1672,-2641,-1963
37654,-26,4,-997,-5880,6720,1260,-1672,-2641,-1963
37656,-26,4,-997,-6650,8610,2240,-1672,-2641,-1963
37658,-26,4,-997,-6650,8610,2240,-1653,-2661,-1960
37660,-26,4,-997,-6650,8610,2240,-1653,-2661,-1960
37662,-26,4,-997,-6650,8610,2240,-1653,-2661,-1960
37664,-11,-7,-997,-6650,8610,2240,-1653,-2661,-1960
37666,-11,-7,-997,-6930,9240,3570,-1653,-2661,-1960
37668,-11,-7,-997,-6930,9240,3570,-1664,-2647,-1976
37670,-11,-7,-997,-6930,9240,3570,-1664,-2647,-1976
37672,-11,-7,-997,-6930,9240,3570,-1664,-2647,-1976
37674,8,-19,-982,-6930,9240,3570,-1664,-2647,-1976
37676,8,-19,-982,-6020,8540,5670,-1664,-2647,-1976
37678,8,-19,-982,-6020,8540,5670,-1660,-2658,-1961
37680,8,-19,-982,-6020,8540,5670,-1660,-2658,-1961
37682,8,-19,-982,-6020,8540,5670,-1660,-2658,-1961
37684,8,-19,-982,-6020,8540,5670,-1660,-2658,-1961
37686,-15,4,-1029,-3360,6090,6650,-1660,-2658,-1961
37688,-15,4,-1029,-3360,6090,6650,-1657,-2659,-1969
37690,-15,4,-1029,-3360,6090,6650,-1657,-2659,-1969
37692,-15,4,-1029,-3360,6090,6650,-1657,-2659,-1969
37694,-15,4,-1029,-3360,6090,6650,-1657,-2659,-1969
37696,-3,-26,-939,840,3150,5740,-1657,-2659,-1969
37698,-3,-26,-939,840,3150,5740,-1653,-2657,-1968
37700,-3,-26,-939,840,3150,5740,-1653,-2657,-1968
37702,-3,-26,-939,840,3150,5740,-1653,-2657,-1968
37704,-3,-26,-939,840,3150,5740,-1653,-2657,-1968
37706,-46,12,-1013,-2380,840,3990,-1653,-2657,-1968
37708,-46,12,-1013,-2380,840,3990,-1643,-2651,-1966
37710,-46,12,-1013,-2380,840,3990,-1643,-2651,-1966
37712,-46,12,-1013,-2380,840,3990,-1643,-2651,-1966
37714,-46,12,-1013,-2380,840,3990,-1643,-2651,-1966
37716,-89,35,-1029,-4830,980,3150,-1643,-2651,-1966
37718,-89,35,-1029,-4830,980,3150,-1643,-2647,-1970
37720,-89,35,-1029,-4830,980,3150,-1643,-2647,-1970
37722,-89,35,-1029,-4830,980,3150,-1643,-2647,-1970
37724,-89,35,-1029,-4830,980,3150,-1643,-2647,-1970
37726,4,31,-1001,-3220,-910,1960,-1643,-2647,-1970
37728,4,31,-1001,-3220,-910,1960,-1635,-2650,-1961
37730,4,31,-1001,-3220,-910,1960,-1635,-2650,-1961
37732,4,31,-1001,-3220,-910,1960,-1635,-2650,-1961
37734,4,31,-1001,-3220,-910,1960,-1635,-2650,-1961
37736,-7,-7,-990,-5460,-1260,2030,-1635,-2650,-1961
37738,-7,-7,-990,-5460,-1260,2030,-1629,-2640,-1961
37740,-7,-7,-990,-5460,-1260,2030,-1629,-2640,-1961
37742,-7,-7,-990,-5460,-1260,2030,-1629,-2640,-1961
37744,-7,-7,-990,-5460,-1260,2030,-1629,-2640,-1961
37746,-22,16,-982,-7070,-1050,2380,-1629,-2640,-1961
37748,-22,16,-982,-7070,-1050,2380,-1626,-2654,-1973
37750,-22,16,-982,-7070,-1050,2380,-1626,-2654,-1973
37752,-22,16,-982,-7070,-1050,2380,-1626,-2654,-1973
37754,-22,16,-982,-7070,-1050,2380,-1626,-2654,-1973
37756,-15,55,-1001,-6020,-910,2660,-1626,-2654,-1973
37758,-15,55,-1001,-6020,-910,2660,-1618,-2645,-1972
37760,-15,55,-1001,-6020,-910,2660,-1618,-2645,-1972
37762,-15,55,-1001,-6020,-910,2660,-1618,-2645,-1972
37764,-15,55,-1001,-6020,-910,2660,-1618,-2645,-1972
37766,-7,31,-990,-8470,-630,2240,-1618,-2645,-1972
37768,-7,31,-990,-8470,-630,2240,-1611,-2639,-1961
37770,-7,31,-990,-8470,-630,2240,-1611,-2639,-1961
37772,-7,31,-990,-8470,-630,2240,-1611,-2639,-1961
37774,-7,31,-990,-8470,-630,2240,-1611,-2639,-1961
37776,-19,-34,-997,-11620,-980,1820,-1611,-2639,-1961
37778,-19,-34,-997,-11620,-980,1820,-1610,-2624,-1970
37780,-19,-34,-997,-11620,-980,1820,-1610,-2624,-1970
37782,-19,-34,-997,-11620,-980,1820,-1610,-2624,-1970
37784,-19,-34,-997,-11620,-980,1820,-1610,-2624,-1970
37786,98,-42,-1150,-10780,-840,1330,-1610,-2624,-1970
37788,98,-42,-1150,-10780,-840,1330,-1604,-2635,-1964
37790,98,-42,-1150,-10780,-840,1330,-1604,-2635,-1964
37792,98,-42,-1150,-10780,-840,1330,-1604,-2635,-1964
37794,98,-42,-1150,-10780,-840,1330,-1604,-2635,-1964
37796,-61,98,-997,560,-140,770,-1604,-2635,-1964
37798,-61,98,-997,560,-140,770,-1613,-2631,-1965
37800,-61,98,-997,560,-140,770,-1613,-2631,-1965
37802,-61,98,-997,560,-140,770,-1613,-2631,-1965
37804,-61,98,-997,560,-140,770,-1613,-2631,-1965
37806,-7,-108,-955,-980,70,560,-1613,-2631,-1965
37808,-7,-108,-955,-980,70,560,-1595,-2631,-1961
37810,-7,-108,-955,-980,70,560,-1595,-2631,-1961
37812,-7,-108,-955,-980,70,560,-1595,-2631,-1961
37814,-7,-108,-955,-980,70,560,-1595,-2631,-1961
37816,-34,-69,-947,-280,770,560,-1595,-2631,-1961
37818,-34,-69,-947,-280,770,560,-1592,-2620,-1962
37820,-34,-69,-947,-280,770,560,-1592,-2620,-1962
37822,-34,-69,-947,-280,770,560,-1592,-2620,-1962
37824,-34,-69,-947,-280,770,560,-1592,-2620,-1962
37826,-136,-214,-818,7700,-1820,420,-1592,-2620,-1962
37828,-136,-214,-818,7700,-1820,420,-1600,-2624,-1961
37830,-136,-214,-818,7700,-1820,420,-1600,-2624,-1961
37832,-136,-214,-818,7700,-1820,420,-1600,-2624,-1961
37834,-136,-214,-818,7700,-1820,420,-1600,-2624,-1961
37836,-136,-214,-818,14140,980,140,-1600,-2624,-1961
37838,195,66,-841,14140,980,140,-1595,-2624,-1961
37840,195,66,-841,14140,980,140,-1595,-2624,-1961
37842,195,66,-841,14140,980,140,-1595,-2624,-1961
37844,195,66,-841,14140,980,140,-1595,-2624,-1961
37846,195,66,-841,12670,2590,560,-1595,-2624,-1961
37848,-116,211,-1099,12670,2590,560,-1588,-2633,-1968
37850,-116,211,-1099,12670,2590,560,-1588,-2633,-1968
37852,-116,211,-1099,12670,2590,560,-1588,-2633,-1968
37854,-116,211,-1099,12670,2590,560,-1588,-2633,-1968
37856,-116,211,-1099,-70,840,910,-1588,-2633,-1961
37858,-38,47,-986,-70,840,910,-1588,-2630,-1961
37860,-38,47,-986,-70,840,910,-1588,-2630,-1961
37862,-38,47,-986,-70,840,910,-1588,-2630,-1961
37864,-38,47,-986,-70,840,910,-1588,-2630,-1961
37866,-38,47,-986,-9730,-560,280,-1588,-2624,-1961
37868,-15,-151,-958,-9730,-560,280,-1584,-2624,-1961
37870,-15,-151,-958,-9730,-560,280,-1584,-2624,-1961
37872,-15,-151,-958,-9730,-560,280,-1584,-2624,-1961
37874,-15,-151,-958,-9730,-560,280,-1584,-2624,-1961
37876,-15,-151,-958,-5670,280,280,-1584,-2626,-1957
37878,-15,-69,-1005,-5670,280,280,-1585,-2626,-1957
37880,-15,-69,-1005,-5670,280,280,-1585,-2626,-1957
37882,-15,-69,-1005,-5670,280,280,-1585,-2626,-1957
37884,-15,-69,-1005,-5670,280,280,-1585,-2626,-1957
37886,-15,-69,-1005,1260,1190,350,-1570,-2619,-1966
37888,-22,12,-958,1260,1190,350,-1570,-2619,-1966
37890,-22,12,-958,1260,1190,350,-1570,-2619,-1966
37892,-22,12,-958,1260,1190,350,-1570,-2619,-1966
37894,-22,12,-958,1260,1190,350,-1570,-2619,-1966
37896,-22,12,-958,3430,1750,280,-1568,-2630,-1966
37898,-7,109,-1036,3430,1750,280,-1568,-2630,-1966
37900,-7,109,-1036,3430,1750,280,-1568,-2630,-1966
37902,-7,109,-1036,3430,1750,280,-1568,-2630,-1966
37904,-7,109,-1036,3430,1750,280,-1568,-2630,-1966
37906,-7,109,-1036,-210,1190,490,-1575,-2627,-1957
37908,-7,-3,-982,-210,1190,490,-1575,-2627,-1957
37910,-7,-3,-982,-210,1190,490,-1575,-2627,-1957
37912,-7,-3,-982,-210,1190,490,-1575,-2627,-1957
37914,-7,-3,-982,-210,1190,490,-1575,-2627,-1957
37916,-7,-3,-982,-4200,560,490,-1574,-2620,-1958
37918,-19,-61,-1009,-4200,560,490,-1574,-2620,-1958
37920,-19,-61,-1009,-4200,560,490,-1574,-2620,-1958
37922,-19,-61,-1009,-4200,560,490,-1574,-2620,-1958
37924,-19,-61,-1009,-4200,560,490,-1574,-2620,-1958
37926,-19,-61,-1009,-2660,770,420,-1574,-2620,-1958
37928,-19,0,-974,-2660,770,420,-1574,-2620,-1958
37930,-19,0,-974,-2660,770,420,-1574,-2620,-1958
37932,-19,0,-974,-2660,770,420,-1574,-2620,-1958
37934,-19,0,-974,-2660,770,420,-1574,-2620,-1958
37936,-19,0,-974,630,980,420,-1577,-2629,-1954
37938,-3,27,-1009,630,980,420,-1577,-2629,-1954
37940,-3,27,-1009,630,980,420,-1577,-2629,-1954
37942,-3,27,-1009,630,980,420,-1577,-2629,-1954
37944,-3,27,-1009,630,980,420,-1577,-2629,-1954
37946,-3,27,-1009,-770,910,490,-1578,-2623,-1961
37948,-15,4,-1005,-770,910,490,-1578,-2623,-1961
37950,-15,4,-1005,-770,910,490,-1578,-2623,-1961
37952,-15,4,-1005,-770,910,490,-1578,-2623,-1961
37954,-15,4,-1005,-770,910,490,-1578,-2623,-1961
37956,-15,4,-1005,-2310,630,560,-1571,-2623,-1954
37958,-11,-19,-982,-2310,630,560,-1571,-2623,-1954
37960,-11,-19,-982,-2310,630,560,-1571,-2623,-1954
37962,-11,-19,-982,-2310,630,560,-1571,-2623,-1954
37964,-11,-19,-982,-2310,630,560,-1571,-2623,-1954
37966,-11,-19,-982,-1820,700,490,-1575,-2625,-1966
37968,-7,4,-997,-1820,700,490,-1575,-2625,-1966
37970,-7,4,-997,-1820,700,490,-1575,-2625,-1966
37972,-7,4,-997,-1820,700,490,-1575,-2625,-1966
37974,-7,4,-997,-1820,700,490,-1575,-2625,-1966
37976,-7,4,-997,-1470,1050,420,-1573,-2614,-1969
37978,-19,12,-982,-1470,1050,420,-1573,-2614,-1969
37980,-19,12,-982,-1470,1050,420,-1573,-2614,-1969
37982,-19,12,-982,-1470,1050,420,-1573,-2614,-1969
37984,-19,12,-982,-1470,1050,420,-1573,-2614,-1969
37986,-19,12,-982,-1610,980,350,-1578,-2622,-1957
37988,-19,12,-982,-1610,980,350,-1578,-2622,-1957
37990,-11,-3,-986,-1610,980,350,-1578,-2622,-1957
37992,-11,-3,-986,-1610,980,350,-1578,-2622,-1957
37994,-11,-3,-986,-1610,980,350,-1578,-2622,-1957
37996,-11,-3,-986,-2450,910,420,-1575,-2637,-1957
37998,-11,-3,-986,-2450,910,420,-1575,-2637,-1957
38000,-19,-11,-994,-2450,910,420,-1575,-2637,-1957
38002,-19,-11,-994,-2450,910,420,-1575,-2637,-1957
38004,-19,-11,-994,-2450,910,420,-1575,-2637,-1957
38006,-19,-11,-994,-2170,910,420,-1577,-2629,-1957
38008,-19,-11,-994,-2170,910,420,-1577,-2629,-1957
38010,-19,-3,-1009,-2170,910,420,-1577,-2629,-1957
38012,-19,-3,-1009,-2170,910,420,-1577,-2629,-1957
