T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
3000,-50,-22,-970,-490,2380,1330,173,327,-990
3002,-50,-22,-970,-2170,2310,1820,171,-50,142
3004,-26,8,-962,-2170,2310,1820,-1070,-97,129
3006,-26,8,-962,-2170,2310,1820,-1070,-97,129
3008,-26,8,-962,-2170,2310,1820,-1070,-97,129
3010,-26,8,-962,-2170,2310,1820,-1070,-97,129
3012,-26,8,-962,-630,2030,1540,-371,-570,-1230
3014,-22,23,-1029,-630,2030,1540,-371,-570,-1230
3016,-22,23,-1029,-630,2030,1540,-371,-570,-1230
3018,-22,23,-1029,-630,2030,1540,-371,-570,-1230
3020,-22,23,-1029,-630,2030,1540,-371,-570,-1230
3022,-22,23,-1029,-2380,3080,1190,-52,485,-553
3024,-22,27,-1001,-2380,3080,1190,-52,485,-553
3026,-22,27,-1001,-2380,3080,1190,-52,485,-553
3028,-22,27,-1001,-2380,3080,1190,-52,485,-553
3030,-22,27,-1001,-2380,3080,1190,-52,485,-553
3032,-22,27,-1001,-3990,2380,1050,-1200,-383,-203
3034,94,70,-978,-3990,2380,1050,-1200,-383,-203
3036,94,70,-978,-3990,2380,1050,-1200,-383,-203
3038,94,70,-978,-3990,2380,1050,-1200,-383,-203
3040,94,70,-978,-3990,2380,1050,-1200,-383,-203
3042,94,70,-978,-1820,1190,770,-49,-125,-1431
3044,-11,-22,-1029,-1820,1190,770,-49,-125,-1431
3046,-11,-22,-1029,-1820,1190,770,-49,-125,-1431
3048,-11,-22,-1029,-1820,1190,770,-49,-125,-1431
3050,-11,-22,-1029,-1820,1190,770,-49,-125,-1431
3052,-11,-22,-1029,-1820,2170,560,-515,499,-153
3054,8,-7,-947,-1820,2170,560,-515,499,-153
3056,8,-7,-947,-1820,2170,560,-515,499,-153
3058,8,-7,-947,-1820,2170,560,-515,499,-153
3060,8,-7,-947,-1820,2170,560,-515,499,-153
3062,8,-7,-947,-2800,1120,280,-1046,-562,-633
3064,-22,-7,-1005,-2800,1120,280,-1046,-562,-633
