T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
2249,-42,12,-1009,-2940,1540,1540,-1027,-819,-302
2251,-42,12,-1009,-3290,4060,1470,-1027,-819,-302
2253,-58,-46,-1048,-3290,4060,1470,-1027,-819,-302
2255,-58,-46,-1048,-3290,4060,1470,-114,-698,-1177
2257,-58,-46,-1048,-3290,4060,1470,-114,-698,-1177
2259,-58,-46,-1048,-3290,4060,1470,-114,-698,-1177
2261,-58,-46,-1048,-5530,2310,1470,-114,-698,-1177
2263,-58,-46,-1048,-5530,2310,1470,-114,-698,-1177
2265,-22,-22,-974,-5530,2310,1470,389,-23,-1225
2267,-22,-22,-974,-5530,2310,1470,389,-23,-1225
2269,-22,-22,-974,-5530,2310,1470,389,-23,-1225
2271,-22,-22,-974,-2310,1680,2380,389,-23,-1225
2273,-22,-22,-974,-2310,1680,2380,389,-23,-1225
2275,62,27,-1056,-2310,1680,2380,-184,260,-339
2277,62,27,-1056,-2310,1680,2380,-184,260,-339
2279,62,27,-1056,-2310,1680,2380,-184,260,-339
2281,62,27,-1056,-2800,490,4060,-184,260,-339
2283,62,27,-1056,-2800,490,4060,-184,260,-339
2285,-54,-7,-982,-2800,490,4060,-1005,-466,169
2287,-54,-7,-982,-2800,490,4060,-1005,-466,169
2289,-54,-7,-982,-2800,490,4060,-1005,-466,169
2291,-54,-7,-982,-4970,-2450,2800,-1005,-466,169
2293,-54,-7,-982,-4970,-2450,2800,-1005,-466,169
2295,-22,4,-1013,-4970,-2450,2800,-861,-891,-571
2297,-22,4,-1013,-4970,-2450,2800,-861,-891,-571
2299,-22,4,-1013,-4970,-2450,2800,-861,-891,-571
2301,-22,4,-1013,1680,700,700,-861,-891,-571
2303,-22,4,-1013,1680,700,700,-861,-891,-571
2305,-58,-38,-1099,1680,700,700,76,-462,-1363
2307,-58,-38,-1099,1680,700,700,76,-462,-1363
2309,-58,-38,-1099,1680,700,700,76,-462,-1363
2311,-58,-38,-1099,2030,560,3360,76,-462,-1363
2313,-58,-38,-1099,2030,560,3360,76,-462,-1363
2315,-26,-11,-1013,2030,560,3360,362,95,-981
2317,-26,-11,-1013,2030,560,3360,362,95,-981
2319,-26,-11,-1013,2030,560,3360,362,95,-981
2321,-26,-11,-1013,2520,910,4410,362,95,-981
2323,-26,-11,-1013,2520,910,4410,362,95,-981
2325,59,16,-994,2520,910,4410,-495,107,-108
2327,59,16,-994,2520,910,4410,-495,107,-108
2329,59,16,-994,2520,910,4410,-495,107,-108
2331,59,16,-994,3150,2660,3010,-495,107,-108
2333,59,16,-994,3150,2660,3010,-495,107,-108
2335,-65,-65,-1048,3150,2660,3010,-1059,-607,55
2337,-65,-65,-1048,3150,2660,3010,-1059,-607,55
2339,-65,-65,-1048,3150,2660,3010,-1059,-607,55
2341,-65,-65,-1048,2170,840,1120,-1059,-607,55
2343,-65,-65,-1048,2170,840,1120,-1059,-607,55
2345,16,43,-955,2170,840,1120,-618,-922,-788
2347,16,43,-955,2170,840,1120,-618,-922,-788
2349,16,43,-955,2170,840,1120,-618,-922,-788
2351,16,43,-955,6510,3640,630,-618,-922,-788
2353,16,43,-955,6510,3640,630,-618,-922,-788
2355,-46,-42,-1064,6510,3640,630,280,-264,-1404
2357,-46,-42,-1064,6510,3640,630,280,-264,-1404
2359,-46,-42,-1064,6510,3640,630,280,-264,-1404
2361,-46,-42,-1064,3640,2310,-70,280,-264,-1404
2363,-46,-42,-1064,3640,2310,-70,280,-264,-1404
2365,0,4,-947,3640,2310,-70,214,165,-745
2367,0,4,-947,3640,2310,-70,214,165,-745
2369,0,4,-947,3640,2310,-70,214,165,-745
2371,0,4,-947,4900,1960,140,214,165,-745
2373,0,4,-947,4900,1960,140,214,165,-745
2375,66,27,-974,4900,1960,140,-668,-116,81
2377,66,27,-974,4900,1960,140,-668,-116,81
2379,66,27,-974,4900,1960,140,-668,-116,81
2381,66,27,-974,1050,2870,-70,-668,-116,81
2383,66,27,-974,1050,2870,-70,-668,-116,81
2385,12,-3,-1036,1050,2870,-70,-1055,-733,-156
2387,12,-3,-1036,1050,2870,-70,-1055,-733,-156
2389,12,-3,-1036,1050,2870,-70,-1055,-733,-156
2391,12,-3,-1036,-770,0,-70,-1055,-733,-156
2393,12,-3,-1036,-770,0,-70,-1055,-733,-156
2395,-7,51,-912,-770,0,-70,-329,-859,-1011
2397,-7,51,-912,-770,0,-70,-329,-859,-1011
2399,-7,51,-912,-770,0,-70,-329,-859,-1011
2401,-7,51,-912,2660,2450,70,-329,-859,-1011
2403,-7,51,-912,2660,2450,70,-329,-859,-1011
2405,12,-26,-1091,2660,2450,70,360,-107,-1355
2407,12,-26,-1091,2660,2450,70,360,-107,-1355
2409,12,-26,-1091,2660,2450,70,360,-107,-1355
2411,12,-26,-1091,350,2170,280,360,-107,-1355
2413,12,-26,-1091,350,2170,280,360,-107,-1355
2415,12,-26,-1091,350,2170,280,21,212,-524
2417,0,12,-982,350,2170,280,21,212,-524
2419,0,12,-982,350,2170,280,21,212,-524
2421,0,12,-982,6580,4620,1120,21,212,-524
2423,0,12,-982,6580,4620,1120,21,212,-524
2425,0,12,-982,6580,4620,1120,-865,-314,156
2427,55,39,-955,6580,4620,1120,-865,-314,156
2429,55,39,-955,6580,4620,1120,-865,-314,156
2431,55,39,-955,6090,14560,980,-865,-314,156
2433,55,39,-955,6090,14560,980,-865,-314,156
2435,55,39,-955,6090,14560,980,-961,-816,-378
2437,140,-155,-1540,6090,14560,980,-961,-816,-378
2439,140,-155,-1540,6090,14560,980,-961,-816,-378
2441,140,-155,-1540,-4550,2310,560,-961,-816,-378
2443,140,-155,-1540,-4550,2310,560,-961,-816,-378
2445,140,-155,-1540,-4550,2310,560,-73,-639,-1190
2447,-7,8,-1122,-4550,2310,560,-73,-639,-1190
2449,-7,8,-1122,-4550,2310,560,-73,-639,-1190
2451,-7,8,-1122,-1120,-910,70,-73,-639,-1190
2453,-7,8,-1122,-1120,-910,70,-73,-639,-1190
2455,-7,8,-1122,-1120,-910,70,385,8,-1183
2457,82,20,-912,-1120,-910,70,385,8,-1183
2459,82,20,-912,-1120,-910,70,385,8,-1183
2461,82,20,-912,-1890,-280,770,385,8,-1183
2463,82,20,-912,-1890,-280,770,385,8,-1183
2465,82,20,-912,-1890,-280,770,-208,204,-322
2467,-38,-73,-1001,-1890,-280,770,-208,204,-322
2469,-38,-73,-1001,-1890,-280,770,-208,204,-322
2471,-38,-73,-1001,-1400,-630,700,-208,204,-322
2473,-38,-73,-1001,-1400,-630,700,-208,204,-322
2475,-38,-73,-1001,-1400,-630,700,-999,-459,152
2477,-171,218,-596,-1400,-630,700,-999,-459,152
2479,-171,218,-596,-1400,-630,700,-999,-459,152
2481,-171,218,-596,700,-770,-560,-999,-459,152
2483,-171,218,-596,700,-770,-560,-999,-459,152
2485,-171,218,-596,700,-770,-560,-814,-865,-587
2487,-22,-272,-1091,700,-770,-560,-814,-865,-587
2489,-22,-272,-1091,700,-770,-560,-814,-865,-587
2491,-22,-272,-1091,-2450,-630,-140,-814,-865,-587
2493,-22,-272,-1091,-2450,-630,-140,-814,-865,-587
2495,-22,-272,-1091,-2450,-630,-140,47,-464,-1331
2497,-65,90,-1095,-2450,-630,-140,47,-464,-1331
2499,-65,90,-1095,-2450,-630,-140,47,-464,-1331
2501,-65,90,-1095,1610,2170,490,47,-464,-1331
2503,-65,90,-1095,1610,2170,490,47,-464,-1331
2505,-65,90,-1095,1610,2170,490,359,100,-996
2507,133,-50,-760,1610,2170,490,359,100,-996
2509,133,-50,-760,1610,2170,490,359,100,-996
2511,133,-50,-760,-1540,770,490,359,100,-996
2513,133,-50,-760,-1540,770,490,359,100,-996
2515,133,-50,-760,-1540,770,490,-446,79,-141
2517,20,35,-1075,-1540,770,490,-446,79,-141
2519,20,35,-1075,-1540,770,490,-446,79,-141
2521,20,35,-1075,-1330,350,420,-446,79,-141
2523,20,35,-1075,-1330,350,420,-446,79,-141
2525,20,35,-1075,-1330,350,420,-1061,-581,71
2527,-30,62,-990,-1330,350,420,-1061,-581,71
2529,-30,62,-990,-1330,350,420,-1061,-581,71
2531,-30,62,-990,-140,1820,420,-1061,-581,71
2533,-30,62,-990,-140,1820,420,-1061,-581,71
2535,-30,62,-990,-140,1820,420,-647,-901,-762
2537,-108,-58,-1068,-140,1820,420,-647,-901,-762
2539,-108,-58,-1068,-140,1820,420,-647,-901,-762
2541,-108,-58,-1068,-3220,-210,420,-647,-901,-762
2543,-108,-58,-1068,-3220,-210,420,-647,-901,-762
2545,-108,-58,-1068,-3220,-210,420,198,-331,-1366
2547,-26,-7,-939,-3220,-210,420,198,-331,-1366
2549,-26,-7,-939,-3220,-210,420,198,-331,-1366
2551,-26,-7,-939,0,1400,420,198,-331,-1366
2553,-26,-7,-939,0,1400,420,223,165,-807
2555,-26,-7,-939,0,1400,420,251,166,-807
2557,203,39,-1040,0,1400,420,251,166,-807
2559,203,39,-1040,0,1400,420,251,166,-807
2561,203,39,-1040,-2310,770,280,251,166,-807
2563,203,39,-1040,-2310,770,280,-625,-83,15
2565,203,39,-1040,-2310,770,280,-625,-83,15
2567,203,39,-1040,-2310,770,280,-625,-83,15
2569,-124,35,-1001,-2310,770,280,-625,-83,15
2571,-124,35,-1001,-1470,350,420,-625,-83,15
2573,-124,35,-1001,-1470,350,420,-1069,-683,-71
2575,-124,35,-1001,-1470,350,420,-1069,-683,-71
2577,-124,35,-1001,-1470,350,420,-1069,-683,-71
2579,31,-61,-1056,-1470,350,420,-1069,-683,-71
2581,31,-61,-1056,-350,1820,210,-1069,-683,-71
2583,31,-61,-1056,-350,1820,210,-427,-887,-935
2585,31,-61,-1056,-350,1820,210,-427,-887,-935
2587,31,-61,-1056,-350,1820,210,-427,-887,-935
2589,-38,70,-1048,-350,1820,210,-427,-887,-935
2591,-38,70,-1048,-3360,0,420,-427,-887,-935
2593,-38,70,-1048,-3360,0,420,310,-211,-1334
2595,-38,70,-1048,-3360,0,420,310,-211,-1334
2597,-38,70,-1048,-3360,0,420,310,-211,-1334
