T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
6342,-46,-38,-1017,-140,-630,-1120,-371,-70,-101
6344,-405,215,-861,-140,-630,-1120,-371,-70,-101
6346,-405,215,-861,-140,-630,-1120,-371,-70,-101
6348,-405,215,-861,140,-420,-2730,-371,-70,-101
6350,-405,215,-861,140,-420,-2730,-859,-673,-23
6352,-405,215,-861,140,-420,-2730,-859,-673,-23
6354,62,59,-966,140,-420,-2730,-859,-673,-23
6356,62,59,-966,140,-420,-2730,-859,-673,-23
6358,62,59,-966,3780,5250,-6860,-859,-673,-23
6360,62,59,-966,3780,5250,-6860,-423,-943,-788
6362,62,59,-966,3780,5250,-6860,-423,-943,-788
6364,-38,-7,-826,3780,5250,-6860,-423,-943,-788
6366,-38,-7,-826,3780,5250,-6860,-423,-943,-788
6368,-38,-7,-826,3290,5950,-6230,-423,-943,-788
6370,-38,-7,-826,3290,5950,-6230,386,-431,-1398
6372,-38,-7,-826,3290,5950,-6230,386,-431,-1398
6374,-30,31,-1036,3290,5950,-6230,386,-431,-1398
6376,-30,31,-1036,3290,5950,-6230,386,-431,-1398
6378,-30,31,-1036,5040,6230,-6020,386,-431,-1398
6380,-30,31,-1036,5040,6230,-6020,546,96,-998
6382,-30,31,-1036,5040,6230,-6020,546,96,-998
6384,105,12,-1009,5040,6230,-6020,546,96,-998
6386,105,12,-1009,5040,6230,-6020,546,96,-998
6388,105,12,-1009,3220,3290,-6090,546,96,-998
6390,105,12,-1009,3220,3290,-6090,-237,59,-219
6392,105,12,-1009,3220,3290,-6090,-237,59,-219
6394,55,47,-1013,3220,3290,-6090,-237,59,-219
6396,55,47,-1013,3220,3290,-6090,-237,59,-219
6398,55,47,-1013,2730,2450,-3920,-237,59,-219
6400,55,47,-1013,2730,2450,-3920,-840,-597,42
6402,55,47,-1013,2730,2450,-3920,-840,-597,42
6404,78,35,-919,2730,2450,-3920,-840,-597,42
6406,78,35,-919,2730,2450,-3920,-840,-597,42
6408,78,35,-919,700,3640,-3220,-840,-597,42
6410,78,35,-919,700,3640,-3220,-546,-929,-653
6412,78,35,-919,700,3640,-3220,-546,-929,-653
6414,-26,-30,-994,700,3640,-3220,-546,-929,-653
6416,-26,-30,-994,700,3640,-3220,-546,-929,-653
