T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
295607,398,98,-908,-2940,770,2170,3204,339,638
295647,394,113,-912,-13020,-4060,7070,3209,367,626
295687,335,66,-896,-7700,-2100,3500,3225,386,611
295727,460,113,-935,-15400,980,17430,3205,426,602
295767,363,101,-904,-13020,-980,9590,3213,459,586
295807,371,90,-908,-6230,2380,9730,3229,492,581
295847,378,109,-939,3640,4550,280,3211,500,577
295887,374,98,-908,6930,13440,-2940,3217,462,634
295927,386,82,-880,-8540,28980,5250,3203,444,692
295967,425,121,-888,-5320,12740,1120,3164,465,722
296007,410,105,-912,16660,-12390,-7350,3170,443,738
296047,413,117,-884,11130,2730,-2100,3152,413,743
296087,402,144,-896,10080,-1540,-6720,3134,422,758
296127,441,129,-912,10850,-1260,-8120,3151,404,768
296167,398,137,-892,5810,-3780,-10080,3141,383,770
296207,417,148,-884,-2100,-2030,280,3131,361,759
296247,394,137,-908,-1680,-5670,-5250,3149,355,745
296287,425,164,-904,-15750,-7490,-11550,3140,366,724
296327,413,137,-892,-1890,-2870,-5250,3110,352,682
296367,347,117,-978,1470,140,-5460,3109,356,682
296407,394,109,-912,-6160,-1470,-770,3077,346,691
296447,433,144,-955,-8960,-4060,-560,3084,357,670
296487,402,133,-892,-3710,5040,4200,3100,401,724
296527,394,98,-916,490,3570,2940,3143,460,736
296567,445,133,-916,-1750,910,2730,3173,528,761
296607,456,140,-919,560,3080,2800,3168,558,769
296647,413,133,-873,-420,3220,2100,3122,565,778
296687,406,129,-900,-490,4550,2520,3052,526,787
296727,417,125,-900,-1470,3920,2660,2899,409,754
296767,394,121,-908,-3430,910,910,2683,208,725
296807,410,125,-896,0,2450,140,2390,-38,635
296847,410,129,-908,-2940,-700,-280,1898,-364,453
296887,398,125,-900,-1750,700,-70,1291,-591,281
296927,421,129,-896,-1680,840,-70,849,-656,143
296967,402,117,-912,-2310,210,-140,618,-661,72
297007,410,125,-896,-2590,-140,-140,498,-629,41
297047,406,121,-892,-840,1680,70,529,-512,47
297087,406,129,-912,-3220,-840,-210,642,-324,44
297127,410,125,-888,-1190,1330,70,774,-33,30
297167,406,113,-896,-2030,490,-70,869,388,-31
297207,406,129,-900,-2800,-420,-210,815,902,-218
297247,402,125,-892,-700,1820,280,512,1305,-456
297287,402,117,-900,-3150,-630,-210,56,1369,-654
297327,410,121,-900,-1330,1050,140,-287,1199,-719
297367,402,121,-908,-1750,770,0,-505,927,-680
297407,406,121,-892,-2520,-140,-70,-611,653,-612
297447,406,125,-896,-1330,980,140,-616,428,-536
297487,406,121,-900,-2240,280,0,-578,270,-450
297527,410,125,-896,-1820,560,70,-523,154,-380
297567,406,121,-900,-1890,490,0,-446,101,-301
297607,410,121,-896,-1890,560,70,-402,63,-265
297647,406,121,-904,-1820,350,0,-394,39,-235
297687,406,121,-896,-1470,840,140,-370,41,-226
297727,410,121,-904,-2380,560,0,-352,40,-223
297767,406,121,-896,-1400,420,70,-348,37,-218
297807,406,113,-900,-2310,140,70,-349,34,-218
297847,406,117,-904,-1540,840,70,-329,35,-214
297887,402,121,-900,-2030,420,140,-326,41,-216
297927,410,117,-896,-1820,490,0,-315,34,-211
297967,402,113,-900,-1610,840,140,-337,33,-208
298007,402,121,-908,-2240,140,0,-333,30,-208
298047,402,121,-900,-1260,1120,210,-331,30,-210
298087,410,121,-900,-2240,280,0,-334,38,-208
298127,410,117,-908,-1820,630,70,-331,30,-206
298167,410,113,-900,-1680,770,140,-341,31,-207
298207,406,117,-904,-2100,210,70,-337,31,-219
298247,402,117,-892,-1400,1050,210,-337,24,-206
298287,406,125,-896,-2380,0,0,-338,26,-214
298327,410,129,-900,-980,1400,280,-340,33,-210
298367,402,117,-908,-2660,0,-140,-352,37,-207
298407,406,125,-904,-1260,1050,280,-342,15,-207
298447,402,113,-908,-2030,420,70,-326,27,-215
298487,406,121,-900,-1820,630,140,-338,27,-206
298527,406,117,-892,-1610,840,140,-327,28,-208
298567,402,113,-896,-2240,210,0,-323,35,-208
298607,410,117,-896,-1120,1260,210,-323,27,-207
298647,402,121,-900,-2590,-70,-70,-320,20,-195
298687,410,117,-896,-980,1400,280,-326,30,-206
298727,429,125,-896,-2450,140,0,-329,33,-203
298767,417,129,-892,-1470,910,280,-323,24,-207
298807,402,117,-900,-1820,560,70,-311,42,-203
298847,406,133,-904,-1960,490,70,-320,34,-210
298887,402,121,-900,-1470,980,140,-315,24,-207
298927,413,117,-904,-2310,140,-70,-322,45,-207
298967,410,121,-908,-1190,1260,280,-320,35,-212
299007,410,117,-900,-2450,140,-70,-315,42,-218
299047,398,113,-904,-1400,840,210,-320,34,-203
299087,410,121,-896,-1820,770,70,-316,35,-211
299127,402,121,-904,-2170,210,70,-326,31,-199
299167,410,117,-904,-1260,1190,210,-322,37,-207
299207,406,117,-900,-2450,70,0,-323,28,-211
299247,402,125,-908,-1400,1050,210,-319,34,-200
299287,406,109,-900,-2030,630,70,-309,43,-210
299327,406,121,-904,-1820,420,140,-322,26,-204
299367,410,125,-900,-1400,1120,140,-329,37,-204
299407,398,125,-908,-2310,0,70,-316,34,-210
299447,410,117,-900,-1260,1260,210,-319,24,-211
