T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
37744,-46,-34,-986,-5670,630,7910,195,172,-1542
37746,12,-19,-1013,-5670,630,7910,195,172,-1542
37748,12,-19,-1013,-5670,630,7910,454,461,-1391
37750,12,-19,-1013,-5950,0,7070,454,461,-1391
37752,12,-19,-1013,-5950,0,7070,454,461,-1391
37754,12,-19,-1013,-5950,0,7070,454,461,-1391
37756,4,0,-997,-5950,0,7070,454,461,-1391
37758,4,0,-997,-5950,0,7070,-102,578,-442
37760,4,0,-997,-5810,980,2240,-102,578,-442
37762,4,0,-997,-5810,980,2240,-102,578,-442
37764,4,0,-997,-5810,980,2240,-102,578,-442
37766,-38,-22,-1005,-5810,980,2240,-102,578,-442
37768,-38,-22,-1005,-5810,980,2240,-945,193,101
37770,-38,-22,-1005,-5670,490,210,-945,193,101
37772,-38,-22,-1005,-5670,490,210,-945,193,101
37774,-38,-22,-1005,-5670,490,210,-945,193,101
37776,-30,-3,-939,-5670,490,210,-945,193,101
37778,-30,-3,-939,-5670,490,210,-921,-89,-606
37780,-30,-3,-939,-4410,1470,420,-921,-89,-606
37782,-30,-3,-939,-4410,1470,420,-921,-89,-606
37784,-30,-3,-939,-4410,1470,420,-921,-89,-606
37786,-58,-7,-1029,-4410,1470,420,-921,-89,-606
37788,-58,-7,-1029,-4410,1470,420,-40,24,-1424
37790,-58,-7,-1029,-3990,2100,490,-40,24,-1424
37792,-58,-7,-1029,-3990,2100,490,-40,24,-1424
37794,-58,-7,-1029,-3990,2100,490,-40,24,-1424
37796,-34,-34,-1033,-3990,2100,490,-40,24,-1424
37798,-34,-34,-1033,-3990,2100,490,439,421,-1490
37800,-34,-34,-1033,-1750,2730,770,439,421,-1490
37802,-34,-34,-1033,-1750,2730,770,439,421,-1490
37804,-34,-34,-1033,-1750,2730,770,439,421,-1490
37806,-159,-19,-1033,-1750,2730,770,439,421,-1490
37808,-159,-19,-1033,-1750,2730,770,51,570,-581
37810,-159,-19,-1033,-560,2730,1470,51,570,-581
37812,-159,-19,-1033,-560,2730,1470,51,570,-581
37814,-159,-19,-1033,-560,2730,1470,51,570,-581
37816,-159,-19,-814,-560,2730,1470,51,570,-581
37818,16,70,-814,-560,2730,1470,-905,252,77
37820,16,70,-814,2450,1260,4830,-905,252,77
37822,16,70,-814,2450,1260,4830,-905,252,77
37824,16,70,-814,2450,1260,4830,-905,252,77
37826,16,70,-814,2450,1260,4830,-905,252,77
37828,-120,-34,-986,2450,1260,4830,-991,-79,-458
37830,-120,-34,-986,4690,-1960,9730,-991,-79,-458
37832,-120,-34,-986,4690,-1960,9730,-991,-79,-458
37834,-120,-34,-986,4690,-1960,9730,-991,-79,-458
37836,-120,-34,-986,4690,-1960,9730,-991,-79,-458
37838,78,-54,-1036,4690,-1960,9730,-213,-61,-1330
37840,78,-54,-1036,4480,-2170,14630,-213,-61,-1330
37842,78,-54,-1036,4480,-2170,14630,-213,-61,-1330
37844,78,-54,-1036,4480,-2170,14630,-213,-61,-1330
37846,78,-54,-1036,4480,-2170,14630,-213,-61,-1330
37848,39,-3,-1009,4480,-2170,14630,429,366,-1583
37850,39,-3,-1009,3430,-910,16170,429,366,-1583
37852,39,-3,-1009,3430,-910,16170,429,366,-1583
37854,39,-3,-1009,3430,-910,16170,429,366,-1583
37856,39,-3,-1009,3430,-910,16170,429,366,-1583
37858,23,222,-1306,3430,-910,16170,150,576,-707
37860,23,222,-1306,-210,-70,9380,150,576,-707
37862,23,222,-1306,-210,-70,9380,150,576,-707
37864,23,222,-1306,-210,-70,9380,150,576,-707
37866,23,222,-1306,-210,-70,9380,150,576,-707
37868,-206,82,-631,-210,-70,9380,-842,279,31
37870,-206,82,-631,1820,490,1680,-842,279,31
37872,-206,82,-631,1820,490,1680,-842,279,31
37874,-206,82,-631,1820,490,1680,-842,279,31
37876,-206,82,-631,1820,490,1680,-842,279,31
37878,-69,-73,-1138,1820,490,1680,-1015,-32,-330
37880,-69,-73,-1138,-1050,910,560,-1015,-32,-330
37882,-69,-73,-1138,-1050,910,560,-1015,-32,-330
37884,-69,-73,-1138,-1050,910,560,-1015,-32,-330
37886,-69,-73,-1138,-1050,910,560,-1015,-32,-330
37888,43,-15,-904,-1050,910,560,-385,-93,-1216
37890,43,-15,-904,-3500,980,140,-385,-93,-1216
37892,43,-15,-904,-3500,980,140,-385,-93,-1216
37894,43,-15,-904,-3500,980,140,-385,-93,-1216
37896,43,-15,-904,-3500,980,140,-385,-93,-1216
37898,-100,43,-1103,-3500,980,140,409,320,-1639
37900,-100,43,-1103,-4620,770,-210,409,320,-1639
37902,-100,43,-1103,-4620,770,-210,409,320,-1639
37904,-100,43,-1103,-4620,770,-210,409,320,-1639
37906,-100,43,-1103,-4620,770,-210,409,320,-1639
37908,-46,-58,-1025,-4620,770,-210,256,556,-861
37910,-46,-58,-1025,-3430,1050,-490,256,556,-861
37912,-46,-58,-1025,-3430,1050,-490,256,556,-861
37914,-46,-58,-1025,-3430,1050,-490,256,556,-861
37916,-46,-58,-1025,-3430,1050,-490,256,556,-861
37918,-81,-15,-838,-3430,1050,-490,-709,366,-50
37920,-81,-15,-838,-1820,770,-70,-709,366,-50
37922,-81,-15,-838,-1820,770,-70,-709,366,-50
37924,-81,-15,-838,-1820,770,-70,-709,366,-50
37926,-81,-15,-838,-1820,770,-70,-709,366,-50
37928,20,39,-1017,-1820,770,-70,-1023,-1,-196
37930,20,39,-1017,-1120,1190,0,-1023,-1,-196
37932,20,39,-1017,-1120,1190,0,-1023,-1,-196
37934,20,39,-1017,-1120,1190,0,-1023,-1,-196
37936,20,39,-1017,-1120,1190,0,-1023,-1,-196
37938,-73,-11,-810,-1120,1190,0,-535,-107,-1103
37940,-73,-11,-810,-1960,840,0,-535,-107,-1103
37942,-73,-11,-810,-1960,840,0,-535,-107,-1103
37944,-73,-11,-810,-1960,840,0,-535,-107,-1103
37946,-73,-11,-810,-1960,840,0,-535,-107,-1103
37948,-30,-61,-1079,-1960,840,0,367,264,-1668
37950,-30,-61,-1079,-1820,1050,70,367,264,-1668
37952,-30,-61,-1079,-1820,1050,70,367,264,-1668
37954,-30,-61,-1079,-1820,1050,70,367,264,-1668
37956,-30,-61,-1079,-1820,1050,70,367,264,-1668
37958,70,-22,-1044,-1820,1050,70,335,543,-993
37960,70,-22,-1044,-1470,1120,140,335,543,-993
37962,70,-22,-1044,-1470,1120,140,335,543,-993
37964,70,-22,-1044,-1470,1120,140,335,543,-993
37966,70,-22,-1044,-1470,1120,140,335,543,-993
37968,70,-22,-1044,-1470,1120,140,-519,475,-132
37970,-42,70,-986,-1470,630,140,-519,475,-132
37972,-42,70,-986,-1470,630,140,-519,475,-132
37974,-42,70,-986,-1470,630,140,-519,475,-132
37976,-42,70,-986,-1470,630,140,-519,475,-132
37978,-42,70,-986,-1470,630,140,-1022,34,-93
37980,-7,-34,-1036,-1610,1190,70,-1022,34,-93
37982,-7,-34,-1036,-1610,1190,70,-1022,34,-93
37984,-7,-34,-1036,-1610,1190,70,-1022,34,-93
37986,-7,-34,-1036,-1610,1190,70,-1022,34,-93
37988,-7,-34,-1036,-1610,1190,70,-668,-104,-963
37990,-104,-7,-966,-1890,840,210,-668,-104,-963
37992,-104,-7,-966,-1890,840,210,-668,-104,-963
37994,-104,-7,-966,-1890,840,210,-668,-104,-963
37996,-104,-7,-966,-1890,840,210,-668,-104,-963
37998,-104,-7,-966,-1890,840,210,323,227,-1656
38000,-26,0,-1056,-1190,980,210,323,227,-1656
38002,-26,0,-1056,-1190,980,210,323,227,-1656
38004,-26,0,-1056,-1190,980,210,323,227,-1656
38006,-26,0,-1056,-1190,980,210,323,227,-1656
38008,-26,0,-1056,-1190,980,210,389,520,-1146
38010,-46,-7,-830,-1610,1050,210,389,520,-1146
38012,-46,-7,-830,-1610,1050,210,389,520,-1146
38014,-46,-7,-830,-1610,1050,210,389,520,-1146
38016,-46,-7,-830,-1610,1050,210,389,520,-1146
38018,-46,-7,-830,-1610,1050,210,-344,536,-250
38020,-15,-46,-923,-1680,700,140,-344,536,-250
38022,-15,-46,-923,-1680,700,140,-344,536,-250
38024,-15,-46,-923,-1680,700,140,-344,536,-250
38026,-15,-46,-923,-1680,700,140,-344,536,-250
38028,-15,-46,-923,-1680,700,140,-1014,88,2
38030,-46,35,-830,-1540,1120,140,-1014,88,2
38032,-46,35,-830,-1540,1120,140,-1014,88,2
38034,-46,35,-830,-1540,1120,140,-1014,88,2
38036,-46,35,-830,-1540,1120,140,-1014,88,2
38038,-46,35,-830,-1540,1120,140,-782,-110,-828
38040,-46,-85,-1091,-1680,770,210,-782,-110,-828
38042,-46,-85,-1091,-1680,770,210,-782,-110,-828
38044,-46,-85,-1091,-1680,770,210,-782,-110,-828
38046,-46,-85,-1091,-1680,770,210,-782,-110,-828
38048,-46,-85,-1091,-1680,770,210,251,172,-1597
38050,-26,-19,-1013,-1400,910,140,251,172,-1597
38052,-26,-19,-1013,-1400,910,140,251,172,-1597
38054,-26,-19,-1013,-1400,910,140,251,172,-1597
38056,-26,-19,-1013,-1400,910,140,251,172,-1597
38058,-26,-19,-1013,-1400,910,140,409,485,-1291
38060,-108,-22,-1001,-1960,910,140,409,485,-1291
38062,-108,-22,-1001,-1960,910,140,409,485,-1291
38064,-108,-22,-1001,-1960,910,140,409,485,-1291
38066,-108,-22,-1001,-1960,910,140,409,485,-1291
38068,-108,-22,-1001,-1960,910,140,-176,558,-368
38070,27,55,-982,-1610,630,280,-176,558,-368
38072,27,55,-982,-1610,630,280,-176,558,-368
38074,27,55,-982,-1610,630,280,-176,558,-368
38076,27,55,-982,-1610,630,280,-176,558,-368
38078,27,55,-982,-1610,630,280,-986,145,60
38080,-42,-15,-947,-1540,1050,140,-986,145,60
38082,-42,-15,-947,-1540,1050,140,-986,145,60
38084,-42,-15,-947,-1540,1050,140,-986,145,60
38086,-42,-15,-947,-1540,1050,140,-986,145,60
38088,-42,-15,-947,-1540,1050,140,-880,-104,-680
38090,12,-50,-1142,-1890,700,210,-880,-104,-680
38092,12,-50,-1142,-1890,700,210,-880,-104,-680
38094,12,-50,-1142,-1890,700,210,-880,-104,-680
38096,12,-50,-1142,-1890,700,210,-880,-104,-680
38098,12,-50,-1142,-1890,700,210,116,91,-1525
38100,-19,0,-1048,-1330,910,210,116,91,-1525
38102,-19,0,-1048,-1330,910,210,116,91,-1525
38104,-19,0,-1048,-1330,910,210,116,91,-1525
38106,-19,0,-1048,-1330,910,210,116,91,-1525
38108,-19,0,-1048,-1330,910,210,435,444,-1410
38110,-30,35,-978,-1890,910,210,435,444,-1410
38112,-30,35,-978,-1890,910,210,435,444,-1410
38114,-30,35,-978,-1890,910,210,435,444,-1410
38116,-30,35,-978,-1890,910,210,444,416,-485
38118,-30,35,-978,-1890,910,210,-6,572,-496
38120,-30,35,-978,-1400,840,210,-6,572,-496
38122,-54,-30,-892,-1400,840,210,-6,572,-496
38124,-54,-30,-892,-1400,840,210,-6,572,-496
38126,-54,-30,-892,-1400,840,210,-13,235,81
38128,-54,-30,-892,-1400,840,210,-948,200,72
