T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
13769,82,51,-1001,3290,-4060,840,-443,417,-490
13771,82,51,-1001,3290,-4060,840,-443,417,-490
13773,82,51,-1001,3290,-4060,840,-1198,-455,-422
13775,82,51,-1001,3290,-4060,840,-1198,-455,-422
13777,-65,-42,-1052,3290,-4060,840,-1198,-455,-422
13779,-65,-42,-1052,2310,-2870,1050,-1198,-455,-422
13781,-65,-42,-1052,2310,-2870,1050,-1198,-455,-422
13783,-65,-42,-1052,2310,-2870,1050,-415,-582,-1359
13785,-65,-42,-1052,2310,-2870,1050,-415,-582,-1359
13787,31,-186,-1083,2310,-2870,1050,-415,-582,-1359
13789,31,-186,-1083,2030,-2940,630,-415,-582,-1359
13791,31,-186,-1083,2030,-2940,630,-415,-582,-1359
13793,31,-186,-1083,2030,-2940,630,414,164,-1729
13795,31,-186,-1083,2030,-2940,630,414,164,-1729
13797,-42,70,-904,2030,-2940,630,414,164,-1729
13799,-42,70,-904,2940,-1820,840,414,164,-1729
13801,-42,70,-904,2940,-1820,840,414,164,-1729
13803,-42,70,-904,2940,-1820,840,-307,518,-676
13805,-42,70,-904,2940,-1820,840,-307,518,-676
13807,140,86,-1044,2940,-1820,840,-307,518,-676
13809,140,86,-1044,630,-840,840,-307,518,-676
13811,140,86,-1044,630,-840,840,-307,518,-676
13813,140,86,-1044,630,-840,840,-1047,-210,-235
13815,140,86,-1044,630,-840,840,-1047,-210,-235
13817,-65,47,-904,630,-840,840,-1047,-210,-235
13819,-65,47,-904,1610,-1330,980,-1047,-210,-235
13821,-65,47,-904,1610,-1330,980,-1047,-210,-235
13823,-65,47,-904,1610,-1330,980,-698,-730,-1233
13825,-65,47,-904,1610,-1330,980,-698,-730,-1233
13827,66,-124,-955,1610,-1330,980,-698,-730,-1233
13829,66,-124,-955,1610,630,840,-698,-730,-1233
13831,66,-124,-955,1610,630,840,-673,54,-1744
13833,66,-124,-955,1610,630,840,232,89,-1735
13835,66,-124,-955,1610,630,840,232,89,-1735
13837,-93,156,-994,1610,630,840,232,89,-1735
13839,-93,156,-994,350,70,840,232,89,-1735
13841,-93,156,-994,350,70,840,95,529,-967
13843,-93,156,-994,350,70,840,95,529,-967
13845,-93,156,-994,350,70,840,95,529,-967
13847,82,-42,-1075,350,70,840,95,529,-967
13849,82,-42,-1075,1330,70,840,95,529,-967
13851,82,-42,-1075,1330,70,840,-1036,-133,-190
13853,82,-42,-1075,1330,70,840,-1036,-133,-190
13855,82,-42,-1075,1330,70,840,-1036,-133,-190
13857,-69,-151,-1087,1330,70,840,-1036,-133,-190
13859,-69,-151,-1087,-280,1050,770,-1036,-133,-190
13861,-69,-151,-1087,-280,1050,770,-880,-555,-903
13863,-69,-151,-1087,-280,1050,770,-880,-555,-903
13865,-69,-151,-1087,-280,1050,770,-880,-555,-903
13867,-42,-54,-935,-280,1050,770,-880,-555,-903
13869,-42,-54,-935,-140,-490,770,-880,-555,-903
13871,-42,-54,-935,-140,-490,770,146,-172,-1842
13873,-42,-54,-935,-140,-490,770,146,-172,-1842
13875,-42,-54,-935,-140,-490,770,146,-172,-1842
13877,-58,164,-1173,-140,-490,770,146,-172,-1842
13879,-58,164,-1173,560,980,560,146,-172,-1842
13881,-58,164,-1173,560,980,560,157,478,-1121
13883,-58,164,-1173,560,980,560,157,478,-1121
13885,-58,164,-1173,560,980,560,157,478,-1121
13887,70,8,-849,560,980,560,157,478,-1121
13889,70,8,-849,-910,700,350,157,478,-1121
13891,70,8,-849,-910,700,350,-715,143,-246
13893,70,8,-849,-910,700,350,-715,143,-246
13895,70,8,-849,-910,700,350,-715,143,-246
13897,70,8,-849,-910,700,350,-715,143,-246
13899,-42,-128,-830,70,-280,210,-715,143,-246
13901,-42,-128,-830,70,-280,210,-1096,-602,-744
13903,-42,-128,-830,70,-280,210,-1096,-602,-744
13905,-42,-128,-830,70,-280,210,-1096,-602,-744
13907,-42,-128,-830,70,-280,210,-1096,-602,-744
13909,121,172,-947,-1190,910,0,-1096,-602,-744
13911,121,172,-947,-1190,910,0,-93,-293,-1610
13913,121,172,-947,-1190,910,0,-93,-293,-1610
13915,121,172,-947,-1190,910,0,-93,-293,-1610
13917,121,172,-947,-1190,910,0,-93,-293,-1610
13919,101,27,-1103,-2170,-700,-70,-93,-293,-1610
13921,101,27,-1103,-2170,-700,-70,395,348,-1439
13923,101,27,-1103,-2170,-700,-70,395,348,-1439
13925,101,27,-1103,-2170,-700,-70,395,348,-1439
13927,101,27,-1103,-2170,-700,-70,395,348,-1439
13929,-77,-307,-1083,-1540,-420,-140,395,348,-1439
13931,-77,-307,-1083,-1540,-420,-140,-686,308,-406
13933,-77,-307,-1083,-1540,-420,-140,-686,308,-406
13935,-77,-307,-1083,-1540,-420,-140,-686,308,-406
13937,-77,-307,-1083,-1540,-420,-140,-686,308,-406
13939,-58,-112,-896,-2800,70,-280,-686,308,-406
13941,-58,-112,-896,-2800,70,-280,-1080,-388,-465
13943,-58,-112,-896,-2800,70,-280,-1080,-388,-465
13945,-58,-112,-896,-2800,70,-280,-1080,-388,-465
13947,-58,-112,-896,-2800,70,-280,-1080,-388,-465
13949,51,273,-1107,-1330,-490,-70,-1080,-388,-465
13951,51,273,-1107,-1330,-490,-70,-301,-627,-1516
13953,51,273,-1107,-1330,-490,-70,-301,-627,-1516
13955,51,273,-1107,-1330,-490,-70,-301,-627,-1516
13957,51,273,-1107,-1330,-490,-70,-301,-627,-1516
13959,4,59,-896,-1050,1540,-70,-301,-627,-1516
13961,4,59,-896,-1050,1540,-70,299,281,-1567
13963,4,59,-896,-1050,1540,-70,299,281,-1567
13965,4,59,-896,-1050,1540,-70,299,281,-1567
13967,4,59,-896,-1050,1540,-70,299,281,-1567
13969,-221,-167,-974,-2310,0,0,299,281,-1567
13971,-221,-167,-974,-2310,0,0,-234,539,-656
13973,-221,-167,-974,-2310,0,0,-234,539,-656
13975,-221,-167,-974,-2310,0,0,-234,539,-656
13977,-221,-167,-974,-2310,0,0,-234,539,-656
13979,78,289,-810,-1330,-560,140,-234,539,-656
13981,78,289,-810,-1330,-560,140,-1163,-354,-304
13983,78,289,-810,-1330,-560,140,-1163,-354,-304
13985,78,289,-810,-1330,-560,140,-1163,-354,-304
13987,78,289,-810,-1330,-560,140,-1163,-354,-304
13989,47,47,-997,-2310,560,0,-1163,-354,-304
13991,47,47,-997,-2310,560,0,-596,-604,-1187
13993,47,47,-997,-2310,560,0,-596,-604,-1187
