T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
7092,82,-69,-997,-3850,3780,15470,33,1154,-4821
7094,82,-69,-997,-3850,3780,15470,33,1154,-4821
7096,82,-69,-997,-3850,3780,15470,33,1154,-4821
7098,82,-69,-997,-1190,3780,19040,281,1881,-4210
7100,82,-69,-997,-1190,3780,19040,281,1881,-4210
7102,27,8,-869,-1190,3780,19040,281,1881,-4210
7104,27,8,-869,-1190,3780,19040,281,1881,-4210
7106,27,8,-869,-1190,3780,19040,281,1881,-4210
7108,27,8,-869,-4900,8610,21210,-629,1455,-3548
7110,27,8,-869,-4900,8610,21210,-629,1455,-3548
7112,-132,-34,-982,-4900,8610,21210,-629,1455,-3548
7114,-132,-34,-982,-4900,8610,21210,-629,1455,-3548
7116,-132,-34,-982,-4900,8610,21210,-629,1455,-3548
7118,-132,-34,-982,-6020,2450,18900,-1269,994,-3357
7120,-132,-34,-982,-6020,2450,18900,-1269,994,-3357
7122,-54,78,-865,-6020,2450,18900,-1269,994,-3357
7124,-54,78,-865,-6020,2450,18900,-1269,994,-3357
7126,-54,78,-865,-6020,2450,18900,-1269,994,-3357
7128,-54,78,-865,210,4340,17360,-521,667,-4232
7130,-54,78,-865,210,4340,17360,-521,667,-4232
7132,-370,-775,-1403,210,4340,17360,-521,667,-4232
7134,-370,-775,-1403,210,4340,17360,-521,667,-4232
7136,-370,-775,-1403,210,4340,17360,-521,667,-4232
7138,-370,-775,-1403,1960,-8190,6230,13,1133,-4838
7140,-370,-775,-1403,1960,-8190,6230,13,1133,-4838
7142,-50,449,-997,1960,-8190,6230,13,1133,-4838
7144,-50,449,-997,1960,-8190,6230,13,1133,-4838
7146,-50,449,-997,1960,-8190,6230,13,1133,-4838
7148,-50,449,-997,5600,-6790,-1820,334,1847,-4319
7150,-50,449,-997,5600,-6790,-1820,334,1847,-4319
7152,-346,-155,-884,5600,-6790,-1820,334,1847,-4319
7154,-346,-155,-884,5600,-6790,-1820,334,1847,-4319
7156,-346,-155,-884,5600,-6790,-1820,334,1847,-4319
7158,-346,-155,-884,-3150,-280,-1260,-524,1548,-3630
7160,-346,-155,-884,-3150,-280,-1260,-524,1548,-3630
7162,-116,234,-994,-3150,-280,-1260,-524,1548,-3630
7164,-116,234,-994,-3150,-280,-1260,-524,1548,-3630
7166,-116,234,-994,-3150,-280,-1260,-524,1548,-3630
7168,-116,234,-994,-3360,1260,-1260,-1255,1068,-3284
7170,-116,234,-994,-3360,1260,-1260,-1255,1068,-3284
